ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output,output1_precision,output1_recall,output1_f1
1,how does rivatigmine and otc sleep medicine interact,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.","Rivastigmine interacts with medications for Alzheimer's disease, medications for glaucoma, medications for irritable bowel disease, medications for motion sickness, medications for ulcers, medications for urinary problems. It is important to inform your doctor of all medications you are taking before starting rivastigmine.","[""Rivastigmine  interacts with  antihistamines  aspirin and other NSAIDs such as ibuprofen or Advil or Motrin  aspirin and other NSAIDs such as naproxen or Aleve or Naprosyn  bethanechol or Duvoid or Urecholine  ipratropium or Atrovent or in Combivent or DuoNeb  medications for Alzheimer's disease  medications for glaucoma  medications for irritable bowel disease  medications for motion sickness  medications for ulcers  medications for urinary problems"", 'Rivastigmine  may improve  ability to think and remember', 'Rivastigmine  improves  mental function', 'Rivastigmine  precaution  allergic reaction  inform doctor of other medications  inform doctor if weight < 110 lb  inform doctor if pregnant', 'Rivastigmine  brand name  Exelon®', 'Rivastigmine  side effect  dizziness  diarrhea  loss of appetite  headache  stomach pain  confusion  nausea  vomiting  heartburn  weight loss  constipation  extreme tiredness', 'Rivastigmine  serious side effect  rash  difficulty breathing  seizures', 'Rivastigmine  class of medication  cholinesterase inhibitors', 'Rivastigmine  taken with  meals', 'Rivastigmine  dosage frequency  twice a day']",0.8932464122772217,0.8163478374481201,0.8530676364898682
2,breo inhaler how it works,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.","Breo inhaler works by combining Vilanterol, a long-acting beta agonist, and Fluticasone, a steroid, to help improve breathing by relaxing the muscles in the airways and reducing inflammation.","['Vilanterol  class of medication  long acting beta agonists', 'Fluticasone  class of medication  steroids']",0.836491048336029,0.7825154662132263,0.8086035251617432
3,what medication not to take with lithium,What special precautions should I follow?,"Do not take NSAIDs such as ibuprofen and naproxen, diuretics or water pills, and sodium bicarbonate with lithium. It is important to inform your doctor about other medications you are taking, especially if you are on lithium.","['Lithium  interacts with  sodium bicarbonate.  NSAIDs such as ibuprofen and naproxen.  diuretics or water pills  sodium bicarbonate  nonsteroidal anti inflammatory drugs or NSAIDs  ibuprofen or Advil or Motrinor others  naproxen or Aleve', 'Lithium  special precaution  tell doctor if allergic to lithium.  inform doctor if taking diuretics.  inform doctor about other medications.  inform doctor if having heart or kidney disease.  inform doctor if having severe diarrhea.  inform doctor if pregnant or breastfeeding.', 'Lithium  disposal instruction  do not flush down the toilet.  use medicine take back program.', 'Lithium  side effect  restlessness.  fine hand movements that are difficult to control.  mild thirst.  loss of appetite.  stomach pain.  gas.  indigestion.  weight gain or loss.  dry mouth.  excessive saliva.  change in ability to taste food.  swollen lips.  acne.  hair loss.  unusual discomfort in cold temperatures.  constipation.  depression.  joint or muscle pain.  paleness.  thin brittle fingernails or hair.  itching.  rash.', 'Lithium  serious side effect  unusual tiredness or weakness.  excessive thirst.  frequent urination.  slow jerky movements.  blackouts.  seizures.  fainting.  dizziness or lightheadedness.  fast slow irregular or pounding heartbeat.  shortness of breath.  chest tightness.  confusion.  hallucinations.  painful cold or discolored fingers and toes.  headache.  swelling of the feet ankles or lower legs.', 'Lithium  class of medications  antimanic agents.', 'Lithium  missed dose instruction  take as soon as remembered.', 'Lithium  IMPORTANT WARNING  Keep all appointments with your doctor and the laboratory.', 'Lithium  overdose symptom  frequent urination.  diarrhea.  vomiting.  drowsiness.  muscle weakness.  loss of coordination.  giddiness.  blurred vision.  ringing in the ears.', 'Lithium  other uses  treat depression.  treat schizophrenia.  treat disorders of impulse control.  treat certain mental illnesses in children.']",0.798134446144104,0.8798861503601074,0.8370189070701599
4,can i take tea with azithromycin?,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.","No, you should not take tea with azithromycin.","['Azithromycin  mixed with  water before taking', 'azithromycin  should not be taken with  anticoagulants or blood thinners  warfarin or Coumadin or Jantoven  cyclosporine or Neoral or Sandimmune  digoxin or Lanoxin  dihydroergotamine or D.H.E. 45 or Migranal  ergotamine or Ergomar  medications for irregular heartbeat such as amiodarone or Cordarone or Pacerone  dofetilide or Tikosyn  procainamide or Procanbid  quinidine  sotalol or Betapace or Sorine  nelfinavir or Viracept  phenytoin or Dilantin  terfenadine  antacids containing aluminum hydroxide  antacids containing magnesium hydroxide or Maalox or Mylanta or Tums', 'Azithromycin  taken with  or without food', 'Azithromycin  should not be taken if  allergic to azithromycin  had jaundice  has prolonged QT interval  has heart problems  has kidney disease  has liver disease  pregnant  breastfeeding  allergic to clarithromycin  allergic to dirithromycin  allergic to erythromycin  allergic to telithromycin  allergic to any other medications  allergic to any of the ingredients in azithromycin tablets or suspension  are taking antacids containing aluminum hydroxide or magnesium hydroxide  had other liver problems while taking azithromycin  you or anyone in your family has had a prolonged QT interval  have fast slow or irregular heartbeat  have low levels of magnesium or potassium in blood  have a blood infection  have heart failure or other heart problems  have cystic fibrosis  have myasthenia gravis  have kidney disease  have liver disease  plan to become pregnant', 'Azithromycin tablets  taken  once a day', 'Azithromycin  should be taken until  prescription is finished', 'Azithromycin  taken  around the same time every day', 'Azithromycin tablets  taken for prevention of  disseminated MAC infection', 'Azithromycin  may cause serious side effects  dizziness  fainting  rash  difficulty breathing  fever  fast heartbeat  blisters', 'Azithromycin  may cause  diarrhea  headache  stomach pain  nausea  vomiting']",0.8776514530181885,0.7632954120635986,0.8164887428283691
5,is zolpidem a drug?,Zolpidem belongs to a class of medications called sedative-hypnotics.,"Yes, zolpidem is a drug. It belongs to the medication class of sedative hypnotics and is used to treat insomnia. It should be taken for short periods of time and as needed immediately before bedtime, only when in bed. Zolpidem comes in various forms such as tablets, extended-release tablets, sublingual tablets, and oral spray. It may cause withdrawal symptoms, drowsiness, side effects, serious side effects, serious or possibly life-threatening sleep behaviors, problems with memory, decreased mental alertness, prolonged reaction time, and problems with coordination. Zolpidem may be habit-forming and should be kept out of reach of children. It should not be taken more than one time a day.","['Zolpidem  belongs to medication class  sedative hypnotics', 'Zolpidem  should be taken for  short periods of time', 'Zolpidem  should be taken  as needed  immediately before bedtime  only when in bed', 'Zolpidem  used to treat  insomnia', 'Zolpidem  comes as  tablet  extended release tablet  sublingual tablet  oral spray', 'Zolpidem  may cause  withdrawal symptoms  drowsiness  side effects  serious side effects  serious or possibly life threatening sleep behaviors  problems with memory  decreased mental alertness  prolonged reaction time  problems with coordination', 'Zolpidem  should be disposed of  through a medicine take back program', 'Zolpidem  may be habit forming  true', 'Zolpidem  should be kept  out of reach of children', 'Zolpidem  should not be taken  more than one time a day']",0.8128739595413208,0.9171339869499207,0.8618623614311218
6,what three trade names were gven inthis chapter for this generic drug about hydrochlorothiazide,EsidrixÂ®Â¶    HydrodiurilÂ®Â¶    MicrozideÂ®    OreticÂ®    ZideÂ®Â¶,"The three trade names given in this chapter for the generic drug hydrochlorothiazide are Esidrix, Hydrodiuril, and Microzide.","['Hydrochlorothiazide  brand name  Esidrix  Hydrodiuril  Microzide  Oretic  Zide', 'Hydrochlorothiazide  combination product  Apresazide  Accuretic  Benicar HCT  Diovan HCT  Dutoprol  Exforge HCT  Hydrap ES  Hydro Reserp  Hydropres  Hydroserp  Hydroserpine  Hydra Zide  Inderide  Inderide LA  Lopressor HCT  Mallopress  Marpres  Monopril HCT  Normozide  Quinaretic  Ser Ap Es  Serathide  Serpazide  Serpex  Tekturna HCT  Teveten HCT  Timolide  Trandate HCT  Tri Hydroserpine  Tribenzor  Uni Serp  Unipres  Ziac', 'Hydrochlorothiazide  is in  a class of medications called diuretics', 'Hydrochlorothiazide  is in a class of medications  diuretics', 'Hydrochlorothiazide  class of medication  diuretics', 'Hydrochlorothiazide  form  tablet  capsule  solution', 'Hydrochlorothiazide  works by  causing kidneys to get rid of unneeded water and salt  causing the kidneys to get rid of unneeded water and salt from the body into the urine  causing kidneys to get rid of water and salt', 'Hydrochlorothiazide  disposal instruction  do not flush down toilet  use medicine take back program', 'Hydrochlorothiazide  controls  high blood pressure', 'Hydrochlorothiazide  emergency contact  poison control helpline  call 911']",0.8478579521179199,0.7537909150123596,0.7980621457099915
7,how to pronounce chlordiazepoxide,pronounced as (klor dye az e pox' ide),Chlordiazepoxide is pronounced as klor dye az e pox' ide.,"[""Chlordiazepoxide  pronounced as  klor dye az e pox' ide"", 'Chlordiazepoxide  brand names include  Librium  Librax  A poxide', 'Chlordiazepoxide  brand names of combination products include  Limbitrol  Menrium', 'Chlordiazepoxide  is in a class of medications called  benzodiazepines', 'Chlordiazepoxide  used to control  agitation caused by alcohol withdrawal', 'Chlordiazepoxide  used to relieve  anxiety', 'Chlordiazepoxide  may increase the risk of  coma  serious or life threatening breathing problems  sedation', 'Chlordiazepoxide  works by  decreasing abnormal electrical activity in the brain', 'Chlordiazepoxide  should not be taken with  alcohol  street drugs', 'Chlordiazepoxide  comes as  tablet  capsule']",0.8927699327468872,0.9125667810440063,0.9025598168373108
8,"amiodarone for ""afib what"" are side effects","Amiodarone may cause side effects. Tell your doctor if any of these symptoms are severe or do not go away:
constipation
loss of appetite
headache
decreased sex drive
difficulty falling asleep or staying asleep
flushing
changes in ability to taste and smell
changes in amount of saliva
Some side effects can be serious. If you experience any of the following symptoms, or those listed in the IMPORTANT WARNING section, call your doctor immediately or get emergency medical treatment:
rash
weight loss or gain
restlessness
weakness
nervousness
irritability
intolerance to heat or cold
thinning hair
excessive sweating
changes in menstrual cycle
swelling in the front of the neck (goiter)
swelling of the hands, feet, ankles, or lower legs
uncontrollable shaking of a part of the body
decreased concentration
movements that you cannot control
poor coordination or trouble walking
numbness or tingling in the hands, legs, and feet
muscle weakness
Amiodarone may cause other side effects. Call your doctor if you have any unusual problems while taking this medication.

If you experience a serious side effect, you or your doctor may send a report to the Food and Drug Administration's (FDA) MedWatch Adverse Event Reporting program online (http://www.fda.gov/Safety/MedWatch) or by phone (1-800-332-1088).","Side effects of amiodarone may include lung damage, liver damage, vision problems, serious side effects, and fetal harm.","['Amiodarone  used to treat  ventricular arrhythmias', 'Amiodarone  may worsen  arrhythmia', 'Amiodarone  may cause  lung damage  liver damage  side effects  vision problems  serious side effects  fetal harm', 'Amiodarone  belongs to class  antiarrhythmics', 'Amiodarone  works by  relaxing overactive heart muscles', 'Amiodarone  may interact with  other medications', 'Amiodarone  prescribed for  other uses', 'Amiodarone  requires monitoring  during treatment', 'Amiodarone  should not be flushed  down the toilet', 'Amiodarone  may remain in body  after stopping']",0.8723148107528687,0.7698234915733337,0.8178707957267761
9,why prozac used,"Fluoxetine (Prozac) is used to treat depression, obsessive-compulsive disorder (bothersome thoughts that won't go away and the need to perform certain actions over and over), some eating disorders, and panic attacks (sudden, unexpected attacks of extreme fear and worry about these attacks).","Prozac (Fluoxetine) is used for depression, obsessive-compulsive disorder, eating disorders, panic attacks, premenstrual dysphoric disorder, and bipolar I disorder. It increases serotonin levels and belongs to selective serotonin reuptake inhibitors. It should be taken with or without food once a day or twice a day. Prozac has warnings for suicidal thoughts in children and young adults and may cause withdrawal symptoms, drowsiness, side effects, and angle closure glaucoma. It should not be taken with MAO inhibitors, pimozide, or thioridazine. Prozac comes in capsule form, tablet form, delayed-release capsule form, and liquid form, and should be stored at room temperature.","['Fluoxetine  is prescribed for  depression  obsessive compulsive disorder  eating disorders  panic attacks  premenstrual dysphoric disorder  bipolar I disorder', 'Fluoxetine  increases  serotonin levels', 'Fluoxetine  should be taken  with or without food  once a day or twice a day', 'Fluoxetine  belongs to  selective serotonin reuptake inhibitors', 'Fluoxetine  is a  drug', 'Fluoxetine  has warning  suicidal thoughts in children and young adults', 'Fluoxetine  may cause  withdrawal symptoms  drowsiness  side effects  angle closure glaucoma', 'Fluoxetine  should not be taken with  MAO inhibitors  pimozide  thioridazine', 'Fluoxetine  comes in  capsule form  tablet form  delayed release capsule form  liquid form', 'Fluoxetine  should be stored  at room temperature']",0.8226910829544067,0.8565212488174438,0.8392653465270996
10,what is aldactazide used for,"The combination of spironolactone and hydrochlorothiazide is used to treat high blood pressure. This medication is also used to treat patients with edema (fluid retention) caused by various conditions, including heart, liver, or kidney disease. Spironolactone is in a class of medications called aldosterone receptor antagonists. It causes the kidneys to eliminate unneeded water and sodium from the body into the urine, but reduces the loss of potassium from the body. Hydrochlorothiazide is in a class of medications called diuretics (''water pills''). It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine.","Aldactazide is a combination product that contains Hydrochlorothiazide, which is used for treating high blood pressure and edema. It works by causing the kidneys to get rid of unneeded water and salt from the body into the urine. Aldactazide is a diuretic medication that helps control high blood pressure.","['Hydrochlorothiazide  used for  diabetes insipidus  preventing kidney stones', 'Hydrochlorothiazide  works by  causing kidneys to get rid of unneeded water and salt  causing the kidneys to get rid of unneeded water and salt from the body into the urine  causing kidneys to get rid of water and salt', 'Hydrochlorothiazide  is in  a class of medications called diuretics', 'Hydrochlorothiazide  is in a class of medications  diuretics', 'Hydrochlorothiazide  combination product  Apresazide  Accuretic  Benicar HCT  Diovan HCT  Dutoprol  Exforge HCT  Hydrap ES  Hydro Reserp  Hydropres  Hydroserp  Hydroserpine  Hydra Zide  Inderide  Inderide LA  Lopressor HCT  Mallopress  Marpres  Monopril HCT  Normozide  Quinaretic  Ser Ap Es  Serathide  Serpazide  Serpex  Tekturna HCT  Teveten HCT  Timolide  Trandate HCT  Tri Hydroserpine  Tribenzor  Uni Serp  Unipres  Ziac', 'Hydrochlorothiazide  prescribed for  high blood pressure  edema', 'Hydrochlorothiazide  controls  high blood pressure', 'Hydrochlorothiazide  taken once or twice a day  dosage', 'Hydrochlorothiazide  may cause  dizziness  lightheadedness  fainting  skin sensitivity to sunlight  dehydration  electrolyte imbalance', 'Hydrochlorothiazide  form  tablet  capsule  solution']",0.9276473522186279,0.8903342485427856,0.9086079001426697
