ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output,output1_precision,output1_recall,output1_f1
1,how does rivatigmine and otc sleep medicine interact,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.","I couldn't find specific information about the interaction between Rivastigmine and over-the-counter sleep medicines. However, I can tell you that Rivastigmine, a cholinesterase inhibitor, may cause side effects like extreme tiredness, difficulty sleeping, and dizziness. Over-the-counter sleep aids are typically intended to help with insomnia and could increase the sedative effect when combined with Rivastigmine. It is crucial to inform your healthcare provider of any medications or supplements you are taking to avoid potential interactions and side effects. Always consult with a healthcare professional for personalized medical advice.","['Rivastigmine  has mechanism  increases amount of certain natural substance in the brain', 'Rivastigmine  has side effect  headache  nausea  vomiting  constipation  loss of appetite  difficulty sleeping  stomach pain  diarrhea  dizziness  heartburn  confusion  extreme tiredness  weakness  weight loss  increased sweating  lack of energy  gas  tremor', 'Rivastigmine  has special precaution  inform doctor of allergies  inform doctor if pregnant or breastfeeding  inform doctor before surgery  inform doctor of other medications', 'Rivastigmine  has serious side effect  rash  hives  difficulty breathing  depression  seizures  bloody vomit  anxiety  black and tarry stools  red blood in stools  aggressive behavior  uncontrollable movements', 'Rivastigmine  has warning  keep out of reach of children  store at room temperature  do not flush down toilet  dispose of properly  do not freeze', ""Rivastigmine  has instruction  take exactly as directed  call poison control in case of overdose  follow directions on prescription label  do not stop without talking to doctor  do not take more or less than prescribed  continue taking even if feeling well  doctor will start on low dose and increase every 2 weeks  ask pharmacist for manufacturer's instructions for use  use oral dosing syringe to measure dose  can be mixed with water juice or soda  must be taken within 4 hours if mixed  symptoms of overdose include nausea and vomiting"", 'Rivastigmine  belongs to class  cholinesterase inhibitors', 'Rivastigmine  has caution  talk to doctor if missed dose for more than a few days', 'Rivastigmine  has brand name  Exelon®', 'Rivastigmine  has usage  taken by mouth  taken twice a day with meals']",0.7618466019630432,0.784950315952301,0.7732259035110474
2,what is desonide ointment used for,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).","Desonide ointment is a topical corticosteroid used to reduce swelling, redness, and itching in skin conditions like psoriasis, eczema, or dermatitis. It's typically applied to the affected area two to four times a day. Common side effects include itching, stinging, burning, irritation, peeling, dryness, or redness of the skin. Serious side effects can include severe rash or redness, swelling, or oozing pus at the application site. Always follow the instructions provided by your healthcare provider when using this medication.","['Desonide Topical  has mechanism  activates natural substances in the skin to reduce swelling redness and itching', 'Desonide Topical  has usage  applied to the skin  applied two to four times a day  should improve in first 2 to 4 weeks', 'Desonide Topical  has form  cream  ointment  gel  foam  lotion', 'Desonide Topical  has caution  avoid contact with eyes nose or mouth  avoid use in genital and rectal areas unless directed  do not cover treated area with tight fitting diapers  do not wrap or bandage treated area unless directed', 'Desonide Topical  has instruction  skip missed dose if close to next dose  follow directions on prescription label  use exactly as directed  keep out of reach of children  keep a list of all medications  apply missed dose as soon as remembered  do not apply more or less than prescribed  do not apply to other areas unless directed  apply a thin even film to affected area  wash hands after applying foam  do not apply double amount for missed dose  lock safety caps on containers  bring medication list to doctor visits  call poison control if swallowed  call emergency services if not breathing', 'Desonide Topical  possible cure disease  redness of skin conditions  swelling of skin conditions  itching of skin conditions  discomfort of skin conditions  psoriasis  eczema', 'Desonide Topical  has serious side effect  redness swelling oozing pus at application site  severe rash', 'Desonide Topical  has side effect  itching  stinging  burning  irritation  peeling  dryness  redness of skin  acne  tiny red bumps or rash around mouth  small white or red bumps on skin  change in skin color', 'Desonide Topical  belongs to class  topical corticosteroids', 'Desonide Topical  has brand name  Desonate®  DesOwen®  Verdeso®']",0.7668248414993286,0.8456451892852783,0.8043085932731628
3,breo inhaler how it works,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by relaxing and opening air passages in the lungs, making it easier to breathe.","The Breo inhaler, which contains Fluticasone and Vilanterol, works by reducing swelling in the airways and relaxing and opening air passages in the lungs. This makes it easier to breathe, helping to alleviate symptoms of asthma and COPD such as wheezing, shortness of breath, coughing, chest tightness, and difficulty breathing. The inhaler should be used as prescribed by your doctor, even if you're feeling well, and should not be used during a sudden asthma or COPD attack. It's important to rinse your mouth after using the inhaler to prevent throat irritation. Also, remember that this medication does not cure asthma or COPD, it just helps manage the symptoms.","['Fluticasone and Vilanterol Oral Inhalation  has brand name  Breo Ellipta®', 'Fluticasone and Vilanterol Oral Inhalation  has mechanism  reduces swelling in the airways  relaxes and opens air passages in the lungs', 'Fluticasone and Vilanterol Oral Inhalation  has special precaution  keep out of reach of children  do not flush down toilet  inform doctor of allergies  inform doctor if pregnant or breastfeeding  use medicine take back programs for disposal  inform doctor of other medications  inform doctor of medical history  avoid exposure to chickenpox or measles  call doctor if symptoms of infections develop  call doctor if breathing problems worsen  dispose of properly after use', 'Fluticasone and Vilanterol Oral Inhalation  has information  may be prescribed for other uses', 'Fluticasone and Vilanterol Oral Inhalation  has side effect  hoarseness  nervousness  headache  joint pain  sore throat  runny nose  back pain  shaking of body parts', 'Fluticasone and Vilanterol Oral Inhalation  possible cure disease  wheezing caused by asthma  shortness of breath caused by asthma  coughing caused by asthma  chest tightness caused by asthma  difficulty breathing caused by asthma  wheezing caused by COPD  shortness of breath caused by COPD  coughing caused by COPD', 'Fluticasone and Vilanterol Oral Inhalation  has serious side effect  rash  hives  chest pain  swelling of face throat or tongue  pounding heart  white patches in mouth  fever or chills  cough or difficulty breathing', 'Fluticasone and Vilanterol Oral Inhalation  has instruction  skip missed dose if close to next dose  follow directions on prescription label  do not stop using without talking to doctor  continue use even if feeling well  do not use more or less than prescribed  do not use during a sudden asthma or COPD attack  rinse mouth after inhalation  do not change medication use without talking to doctor  inhale missed dose as soon as remembered  do not inhale double dose', 'Fluticasone and Vilanterol Oral Inhalation  has warning  does not cure asthma or COPD', 'Fluticasone and Vilanterol Oral Inhalation  has form  powder']",0.7773903608322144,0.8277366757392883,0.8017739057540894
4,breo inhaler how it works,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.","The Breo inhaler, also known as Fluticasone and Vilanterol Oral Inhalation (Breo Ellipta®), works by reducing swelling in the airways and relaxing and opening air passages in the lungs. This can help alleviate symptoms of asthma and COPD such as wheezing, shortness of breath, coughing, chest tightness, and difficulty breathing. It's important to use the inhaler as prescribed by your doctor, even when you're feeling well, and to continue using it unless otherwise directed. If you miss a dose, try to take it as soon as you remember, but if it's close to the next dose, skip the missed one. Do not increase or decrease the dosage without consulting your doctor. Rinse your mouth after each use to prevent thrush. Be aware of potential side effects, including hoarseness, nervousness, headache, joint pain, sore throat, runny nose, back pain, shaking of body parts, and serious side effects like rash, hives, chest pain, swelling of the face, throat or tongue, pounding heart, white patches in the mouth, fever or chills, cough or difficulty breathing. Inform your doctor about any allergies, pregnancy, breastfeeding, other medications, medical history, exposure to chickenpox or measles, and symptoms of infections. The inhaler is a powder form medication and should be kept out of reach of children and not flushed down the toilet. It's also important to note that this inhaler does not cure asthma or COPD, it only helps manage the symptoms.","['Fluticasone and Vilanterol Oral Inhalation  has brand name  Breo Ellipta®', 'Fluticasone and Vilanterol Oral Inhalation  has mechanism  reduces swelling in the airways  relaxes and opens air passages in the lungs', 'Fluticasone and Vilanterol Oral Inhalation  has special precaution  keep out of reach of children  do not flush down toilet  inform doctor of allergies  inform doctor if pregnant or breastfeeding  use medicine take back programs for disposal  inform doctor of other medications  inform doctor of medical history  avoid exposure to chickenpox or measles  call doctor if symptoms of infections develop  call doctor if breathing problems worsen  dispose of properly after use', 'Fluticasone and Vilanterol Oral Inhalation  has information  may be prescribed for other uses', 'Fluticasone and Vilanterol Oral Inhalation  has side effect  hoarseness  nervousness  headache  joint pain  sore throat  runny nose  back pain  shaking of body parts', 'Fluticasone and Vilanterol Oral Inhalation  possible cure disease  wheezing caused by asthma  shortness of breath caused by asthma  coughing caused by asthma  chest tightness caused by asthma  difficulty breathing caused by asthma  wheezing caused by COPD  shortness of breath caused by COPD  coughing caused by COPD', 'Fluticasone and Vilanterol Oral Inhalation  has serious side effect  rash  hives  chest pain  swelling of face throat or tongue  pounding heart  white patches in mouth  fever or chills  cough or difficulty breathing', 'Fluticasone and Vilanterol Oral Inhalation  has instruction  skip missed dose if close to next dose  follow directions on prescription label  do not stop using without talking to doctor  continue use even if feeling well  do not use more or less than prescribed  do not use during a sudden asthma or COPD attack  rinse mouth after inhalation  do not change medication use without talking to doctor  inhale missed dose as soon as remembered  do not inhale double dose', 'Fluticasone and Vilanterol Oral Inhalation  has warning  does not cure asthma or COPD', 'Fluticasone and Vilanterol Oral Inhalation  has form  powder']",0.7663640975952148,0.790275514125824,0.778136134147644
5,why did my doctor give me level iracetam,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,"Your doctor prescribed Levetiracetam, also known by its brand names Keppra, Keppra XR, Elepsia XR, and Spritam, to you likely due to its classification as an anticonvulsant, which decreases abnormal excitement in the brain. This medication is often used to treat partial onset seizures, juvenile myoclonic epilepsy, and primary generalized tonic clonic seizures. Side effects may include headache, vomiting, constipation, loss of appetite, diarrhea, dizziness, confusion, joint pain, weakness, irritability, unsteady walking, aggression, excessive sleepiness, neck pain, double vision, nasal congestion, and more. It is important to take Levetiracetam exactly as directed, and if you miss a dose, to take it as soon as remembered unless it's close to the next dose. Do not stop taking this medication without consulting your doctor first. Keep it out of reach of children and store at room temperature away from light and moisture.","['Levetiracetam  has caution  sudden stop may worsen seizures  tell doctor if allergic to levetiracetam  inform doctor of all medications and supplements  monitor for side effects if kidney disease or mood problems  may cause dizziness or drowsiness  call doctor for unusual changes in behavior or mood', 'Levetiracetam  has instruction  take exactly as directed  skip missed dose if close to next dose  dispose of unneeded medications properly  call poison control in case of overdose  follow directions on prescription label  do not stop without talking to doctor  do not flush down toilet  may start on low dose and gradually increase  swallow immediate release and extended release tablets whole  do not split chew or crush tablets  use dry hands to peel foil from blister packaging  dissolve tablets for suspension in liquid  do not use household spoon to measure dose  if missed dose take as soon as remembered', 'Levetiracetam  has side effect  headache  vomiting  constipation  loss of appetite  diarrhea  dizziness  confusion  joint pain  weakness  irritability  unsteady walking  aggression  excessive sleepiness  neck pain  double vision  nasal congestion', 'Levetiracetam  has mechanism  decreases abnormal excitement in the brain', 'Levetiracetam  has information  keep medication out of reach of children  may be prescribed for other uses  store at room temperature away from light and moisture', 'Levetiracetam  has warning  does not cure epilepsy  risk of suicidal thoughts or behavior  serious side effects may include rash fever or difficulty breathing  symptoms of overdose may include drowsiness and difficulty breathing', 'Levetiracetam  belongs to class  anticonvulsants', 'Levetiracetam  possible cure disease  partial onset seizures  juvenile myoclonic epilepsy  primary generalized tonic clonic seizures', 'Levetiracetam  has brand name  Elepsia® XR  Keppra®  Keppra® XR  Spritam®', 'Levetiracetam  has usage  taken by mouth  taken twice a day  taken once daily']",0.7590416073799133,0.8676284551620483,0.8097107410430908
6,what medication not to take with lithium,What special precautions should I follow?,"When taking lithium, it's crucial to avoid taking certain medications that could interact negatively. These include:

1. Non-steroidal anti-inflammatory drugs (NSAIDs) like ibuprofen and naproxen sodium, as they can increase lithium levels in the body and cause toxicity.
2. Diuretics ('water pills') and medications for high blood pressure, such as ACE inhibitors or calcium channel blockers, as they can also alter lithium levels.
3. Antidepressants, particularly selective serotonin reuptake inhibitors (SSRIs) like fluoxetine and sertraline, may interact with lithium and increase the risk of serotonin syndrome.
4. Certain antibiotics, such as metronidazole, could raise lithium levels in the body.
5. Methyldopa for high blood pressure can increase lithium levels.
6. Medications for Parkinson's disease like levodopa and anticholinergics may interact with lithium.
7. Over-the-counter products containing caffeine, sodium bicarbonate (found in some antacids), or cough and cold medicines may increase lithium levels.

Always consult your doctor or pharmacist before starting any new medication while on lithium to avoid potential interactions. It's also essential to follow the instructions provided with your lithium prescription regarding dosage, timing, and storage.","['Lithium  has instruction  take exactly as directed  take missed dose as soon as remembered  skip missed dose if close to next dose  do not take double dose for missed dose  follow directions on prescription label  do not stop taking without talking to your doctor  take at around the same times every day', 'Lithium  has information  store at room temperature away from heat and moisture  dispose of unneeded medications properly  call poison control in case of overdose  keep medication out of reach of children  do not flush down toilet  symptoms of overdose include diarrhea and vomiting', 'Lithium  has serious side effect  shortness of breath  chest tightness  headache  fainting  dizziness or lightheadedness  seizures  confusion  hallucinations  frequent urination  unusual tiredness or weakness  excessive thirst  slow jerky movements  blackouts  fast slow irregular or pounding heartbeat  crossed eyes  painful cold or discolored fingers and toes  pounding noises inside the head  swelling of feet ankles or lower legs', 'Lithium  has side effect  rash  itching  constipation  loss of appetite  stomach pain  restlessness  dry mouth  acne  gas  hair loss  joint or muscle pain  fine hand movements difficult to control  mild thirst  indigestion  weight gain or loss  excessive saliva  change in ability to taste  swollen lips  unusual discomfort in cold temperatures  paleness  thin brittle fingernails or hair', 'Lithium  has caution  do not drive until you know how it affects you', 'Lithium  belongs to class  antimanic agents', 'Lithium  has usage  taken by mouth  taken three to four times a day  taken two to three times a day for extended release', 'Lithium  has brand name  Eskalith  Eskalith CR  Lithobid', 'Lithium  has warning  may harm the fetus if pregnant', 'Lithium  has mechanism  decreases abnormal activity in the brain']",0.7180578112602234,0.8248804807662964,0.767771303653717
7,how to administer denosumab,"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.","Denosumab is administered via subcutaneous injection, which means it's injected under the skin. The frequency of administration varies depending on the condition being treated: it's given every 6 months for osteoporosis, every 4 weeks for multiple myeloma, and every 7 days for the first three doses for giant cell tumor of bone (GCTB). It's important to keep a written list of all medications, take calcium and vitamin D supplements, and avoid receiving more than one product containing denosumab at the same time. If a dose is missed, you should contact your healthcare provider. Denosumab may cause side effects such as headache, nausea, unusual bleeding or bruising, muscle or joint pain, and red, dry, or itchy skin. It's also crucial to monitor blood calcium levels during treatment and avoid pregnancy while receiving denosumab.","['Denosumab Injection  has usage  injected subcutaneously  injected every 6 months for osteoporosis  injected every 4 weeks for multiple myeloma  injected every 7 days for first three doses for GCTB', 'Denosumab Injection  has instruction  keep a written list of all medications  take calcium and vitamin D supplements  do not receive more than one product containing denosumab at the same time  call healthcare provider if a dose is missed  use reliable birth control during treatment and for 5 months after', 'Denosumab Injection  has mechanism  blocks RANK ligand to decrease bone breakdown', 'Denosumab Injection  has brand name  Jubbonti  Prolia  Wyost  Xgeva', 'Denosumab Injection  has caution  monitor blood calcium levels during treatment  may cause osteonecrosis of the jaw (ONJ)  dental examination recommended before treatment  avoid pregnancy while receiving treatment', 'Denosumab Injection  has side effect  headache  nausea  unusual bleeding or bruising  muscle or joint pain  red dry or itchy skin  new or unusual thigh hip or groin pain  may increase risk of thigh bone fractures  may impair bone growth in children  may increase risk of spinal fractures after treatment', 'Denosumab Injection  has form  solution', 'Denosumab Injection  possible cure disease  osteoporosis in women who have undergone menopause  osteoporosis in men with increased risk for fractures  osteoporosis caused by corticosteroid medications  bone loss in men treated for prostate cancer  bone loss in women with breast cancer  giant cell tumor of bone (GCTB)  high calcium levels caused by cancer', 'Denosumab Injection  has warning  may cause serious or life threatening low calcium levels', 'Denosumab Injection  has information  available as biologic medications']",0.8111233711242676,0.8317230939865112,0.8212940692901611
8,is cyclobenzaprine a benzodiazepine?,"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others.","No, Cyclobenzaprine is not a benzodiazepine. It belongs to the class of skeletal muscle relaxants and is used to treat muscle pain and discomfort caused by strains, sprains, or injuries.","['Cyclobenzaprine  belongs to class  skeletal muscle relaxants', 'Cyclobenzaprine  has information  store at room temperature away from heat and moisture  dispose of unneeded medications properly  call poison control in case of overdose  keep medication out of reach of children  do not flush medication down the toilet  symptoms of overdose include drowsiness and fast heartbeat', 'Cyclobenzaprine  has mechanism  acts in the brain and nervous system to allow muscles to relax', 'Cyclobenzaprine  has side effect  nausea  constipation  dizziness  heartburn  extreme tiredness  dry mouth', 'Cyclobenzaprine  has caution  discuss medications with doctor before starting  not for patients recovering from a recent heart attack  not for patients with overactive thyroid gland  not for patients with heart failure  not for patients with irregular heartbeat  not for patients with increased pressure in the eye or glaucoma  not for patients with difficulty urinating  not for patients with liver disease  not for pregnant or breastfeeding women  older adults should not usually take this medication', 'Cyclobenzaprine  has form  tablet  extended release capsule', 'Cyclobenzaprine  has instruction  take exactly as directed  take missed dose as soon as remembered  skip missed dose if close to next dose  do not take double dose for missed dose  follow directions on prescription label  do not take for more than 3 weeks without talking to your doctor  swallow extended release capsules whole  mix contents of capsule with applesauce if unable to swallow', 'Cyclobenzaprine  has warning  call doctor if skin rash occurs  call doctor if swelling of face or tongue occurs  call doctor if difficulty breathing or swallowing occurs  call doctor if irregular or fast heart rate occurs  call doctor if chest pain occurs', 'Cyclobenzaprine  possible cure disease  muscle pain and discomfort caused by strains  muscle pain and discomfort caused by sprains  muscle pain and discomfort caused by muscle injuries', 'Cyclobenzaprine  has brand name  Amrix®  Flexeril®']",0.7549324035644531,0.8204530477523804,0.7863302230834961
9,can i take tea with azithromycin?,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.","Based on the information provided, there's no specific mention of avoiding tea while taking azithromycin. However, it's important to follow the instructions on the prescription label and inform your doctor about all the medications you're taking, including herbal teas, as they could potentially interact with your medication. If you experience any severe side effects after taking azithromycin, such as difficulty breathing, fainting, or severe diarrhea, contact your healthcare provider immediately.","['Azithromycin  has instruction  take exactly as directed  follow directions on prescription label  take until prescription is finished  shake liquid well before each use  use a dosing spoon or oral syringe to measure medication  mix powder with water before taking  use extended release suspension within 12 hours after preparation  call doctor if vomiting occurs within an hour after taking', 'Azithromycin  has usage  taken by mouth  taken once a day for 1 5 days  taken once weekly for prevention of MAC infection  taken on an empty stomach as a one time dose', 'Azithromycin  has severe side effect  difficulty breathing  fainting  yellowing of skin or eyes  dizziness  fast or irregular heartbeat  rash with fever  blisters or peeling skin  severe diarrhea  unusual bleeding or bruising  extreme tiredness', 'Azithromycin  has caution  inform doctor of other medications being taken  inform doctor if pregnant or breastfeeding  skipping doses may lead to antibiotic resistance  tell doctor if allergic to azithromycin or other antibiotics  allow time between antacids and azithromycin  not for patients with liver problems  not for patients with prolonged QT interval', 'Azithromycin  has warning  do not stop taking unless severe side effects occur', 'Azithromycin  has side effect  headache  nausea  vomiting  stomach pain  diarrhea', 'Azithromycin  belongs to class  macrolide antibiotics', 'Azithromycin  has form  tablet  suspension  extended release suspension', 'Azithromycin  has emergency instruction  call poison control in case of overdose', ""Azithromycin  possible cure disease  infections of the ears  infections of the lungs  infections of the skin  bacterial infections  bronchitis  pneumonia  sexually transmitted diseases (STD)  infections of the sinuses  infections of the throat  infections of the reproductive organs  disseminated Mycobacterium avium complex (MAC) infection  H. pylori infection  travelers' diarrhea  Legionnaires' disease  pertussis  Lyme disease  babesiosis  heart infection prevention  STD prevention in sexual assault victims""]",0.7759953141212463,0.7805123329162598,0.7782472968101501
10,is zolpidem a drug?,Zolpidem belongs to a class of medications called sedative-hypnotics.,"Yes, Zolpidem is a drug. It's a sedative, also known by its brand names Ambien, Ambien CR, Edluar, Intermezzo, and Zolpimist. It's used to treat insomnia and should be taken exactly as directed due to its potential for habit formation and serious side effects.","[""Zolpidem  has special precaution  call poison control in case of overdose  inform doctor if pregnant or breastfeeding  may cause withdrawal symptoms if stopped suddenly  inform doctor if allergic to zolpidem  inform doctor of other medications taken  not recommended for older adults  may impair ability to drive or operate machinery  monitor for changes in behavior or mental health  do not take with St. John's wort  call doctor if sleep problems worsen during treatment"", 'Zolpidem  has caution  may be habit forming  do not drink alcohol during treatment  may cause drowsiness and decreased mental alertness  do not take more than one sleeping pill on the same night', 'Zolpidem  has form  tablet  extended release tablet  sublingual tablet  oral spray', 'Zolpidem  has brand name  Ambien  Ambien CR  Edluar  Intermezzo  Zolpimist', 'Zolpidem  has side effect  rash  difficulty breathing  headache  nausea  chest pain  constipation  blurred vision  drowsiness  dizziness  tiredness  unusual dreams  muscle aches or cramps', 'Zolpidem  has mechanism  slows activity in the brain to allow sleep', 'Zolpidem  has instruction  take exactly as directed  dispose of unneeded medications properly  follow directions on prescription label  keep out of reach of children  store at room temperature  keep a list of all medications taken  do not stop taking without talking to your doctor  swallow extended release tablets whole  take for short periods of time  sleep problems should improve within 7 to 10 days  plan to stay in bed for 7 to 8 hours after taking  take sublingual tablets only when in bed  do not take if unable to remain asleep for required hours  prime oral spray before first use', 'Zolpidem  has usage  taken by mouth  taken immediately before bedtime  taken as needed not more than once a day', 'Zolpidem  has warning  may cause serious sleep behaviors', 'Zolpidem  possible cure disease  insomnia']",0.7403666377067566,0.8275811672210693,0.7815483212471008
