ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output,output1_precision,output1_recall,output1_f1
1,how does rivatigmine and otc sleep medicine interact,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.","Rivastigmine is a cholinesterase inhibitor that may improve mental function. It should be taken twice a day with meals and should not be stopped without talking to your doctor. It may cause nausea as a side effect. Interactions with other medications, such as OTC sleep medicine, may require dosage adjustments or monitoring for side effects. It is important to consult with your doctor before combining rivastigmine with any other medication, including OTC sleep medicine.","['Rivastigmine  comes as  solution  capsule', 'Rivastigmine  should not be stopped without  talking to your doctor', 'Rivastigmine  should be taken  twice a day with meals', 'Rivastigmine  may improve  mental function', 'Rivastigmine  is a type of  cholinesterase inhibitor', 'Rivastigmine  should be kept  out of reach of children', 'Rivastigmine  requires  specific dosage adjustments for low body weight', 'Rivastigmine  may cause  nausea  side effects', 'Rivastigmine  should be stored  at room temperature', 'Interactions with other medications  may require  dosage adjustments or monitoring for side effects']",0.8361924290657043,0.7973129749298096,0.8162900805473328
2,what is desonide ointment used for,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).","Desonide ointment is used for other uses as prescribed. It should be applied two to four times a day to the affected area of the skin. It comes in various forms such as cream, ointment, gel, foam, and lotion. It should not be wrapped or bandaged unless directed by a doctor and should not be used in genital and rectal areas. Desonide ointment should be kept out of reach of children, stored at room temperature, and consultation is required if symptoms do not improve.","['Desonide Topical  should be applied  two to four times a day  to affected area of skin', 'Desonide Topical  comes in forms  cream  ointment  gel  foam  lotion', 'Desonide Topical  is prescribed for  other uses', 'Desonide Topical  requires  specific dosage for effectiveness', 'Desonide Topical  should not be wrapped or bandaged unless  directed by doctor', 'Desonide Topical  should be kept  out of reach of children', 'Desonide Topical  should not be used in  genital and rectal areas', 'Desonide Topical  should be stored  at room temperature', 'Desonide Topical  is contraindicated in  genital and rectal areas', 'Desonide Topical  requires consultation if  symptoms do not improve']",0.8260345458984375,0.8334368467330933,0.8297192454338074
3,breo inhaler how it works,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by relaxing and opening air passages in the lungs, making it easier to breathe.","Breo inhaler works by combining fluticasone, a steroid, and vilanterol, a long-acting beta agonist (LABA).","['Fluticasone  is a type of  steroid', 'Vilanterol  is a type of  long acting beta agonist LABA']",0.8916312456130981,0.8239274024963379,0.8564433455467224
4,breo inhaler how it works,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.","Fluticasone is a type of steroid and Vilanterol is a type of long-acting beta agonist (LABA). Breo inhaler contains both fluticasone and vilanterol. Fluticasone works by reducing inflammation in the airways, while vilanterol works by relaxing the muscles in the airways to improve breathing.","['Fluticasone  is a type of  steroid', 'Vilanterol  is a type of  long acting beta agonist LABA']",0.82212233543396,0.780264675617218,0.8006467819213867
5,why did my doctor give me level iracetam,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,"Your doctor may have prescribed you Levetiracetam to control partial onset seizures, treat juvenile myoclonic epilepsy, or treat primary generalized tonic-clonic seizures. Levetiracetam works by decreasing abnormal excitement in the brain. However, it is important to be aware of the potential side effects which may include redness, burning, swelling, diarrhea, stinging, irritation, dryness, hives, pain, sore throat, constipation, headache, dry mouth, tiredness, weakness, irritability, decreased sexual ability, decreased appetite, stomach pain, nausea, vomiting, headache, nausea, dizziness, lightheadedness, cough, changes in mental health, and other severe side effects. If you experience any severe side effects, it may be necessary to discontinue the medication or adjust the dosage.","['side effects  include  redness  burning  swelling  diarrhea  stinging  irritation  dryness  hives  pain  sore throat', 'Side Effects  include  Hives  Dryness  Redness  Itching  Swelling', 'Side effects  include  Constipation  Headache  Dry mouth  Tiredness  Weakness  Irritability  Decreased sexual ability  Decreased appetite  Stomach pain  Nausea  Vomiting', 'Side effects  may include  headache  nausea  dizziness  lightheadedness  cough', 'Levetiracetam  works by  decreasing abnormal excitement in the brain', 'Levetiracetam  may cause  severe side effects  changes in mental health', 'Levetiracetam  belongs to class of medications  anticonvulsants', 'Side effects  may necessitate  discontinuation of medication  discontinuation of Verapamil', 'Side effects  may require  discontinuation of medication  discontinuation of Azithromycin  discontinuation of Amoxicillin and Clavulanic Acid if severe  discontinuation of Pramoxine  adjustment of dosage or discontinuation of Amiodarone  discontinuation of medication if severe  discontinuation of Simvastatin', 'Levetiracetam  is prescribed for  controlling partial onset seizures  treating juvenile myoclonic epilepsy  treating primary generalized tonic clonic seizures']",0.8058899641036987,0.8914415836334229,0.8465096950531006
6,what medication not to take with lithium,What special precautions should I follow?,"Avoid taking lithium with sodium bicarbonate and NSAIDs such as ibuprofen and naproxen, as they may interact with lithium.","['Lithium  should be taken  three to four times a day', 'Lithium  may harm  the fetus if taken during pregnancy', 'Lithium  is used to treat  bipolar disorder', 'Lithium  is in a class of medications called  antimanic agents', 'Lithium  is prescribed for  mania', 'Lithium  may cause  side effects', 'Lithium  comes as  tablet  solution  extended release tablet  capsule', 'Lithium  should be stored at  room temperature', 'Lithium  may interact with  sodium bicarbonate  NSAIDs such as ibuprofen and naproxen', 'ACE inhibitors  work by  decreasing certain chemicals that tighten blood vessels']",0.7831174731254578,0.8471493721008301,0.8138758540153503
7,how to administer denosumab,"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.","Denosumab Injection is administered subcutaneously every 6 months for osteoporosis. It is used to treat osteoporosis in postmenopausal women with increased fracture risk, as well as in men with increased fracture risk, bone loss in men undergoing treatment for prostate cancer, and high calcium levels caused by cancer. Denosumab Injection requires monitoring of calcium levels during treatment and will not be administered if calcium levels are low. It may cause serious or life-threatening low calcium levels in the blood and may lead to osteonecrosis of the jaw in patients with dental issues. Denosumab Injection may require discontinuation if severe side effects occur, and if it is not effective, alternative treatments for osteoporosis may be considered. It is contraindicated in patients with low calcium levels, a history of hypoparathyroidism, malabsorption problems, and patients undergoing dialysis.","['Denosumab Injection  requires monitoring of  calcium levels during treatment', 'Denosumab Injection  will not be administered if  calcium levels are low', 'Denosumab Injection  may cause  serious or life threatening low calcium levels in the blood', 'Denosumab Injection  is administered  subcutaneously every 6 months for osteoporosis', 'Denosumab Injection  may require  discontinuation if severe side effects occur', 'If Denosumab Injection is not effective  then  alternative treatments for osteoporosis may be considered', 'Denosumab Injection  is used to treat  osteoporosis in postmenopausal women with increased fracture risk', 'Denosumab Injection  is effective for  treating osteoporosis in men with increased fracture risk  treating bone loss in men undergoing treatment for prostate cancer  treating high calcium levels caused by cancer', 'Denosumab Injection  may lead to  osteonecrosis of the jaw in patients with dental issues', 'Denosumab Injection  is contraindicated in  patients with low calcium levels  patients with a history of hypoparathyroidism  patients with malabsorption problems  patients undergoing dialysis']",0.8519583344459534,0.8227717876434326,0.8371107578277588
8,is cyclobenzaprine a benzodiazepine?,"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others.","No, cyclobenzaprine is not a benzodiazepine. Cyclobenzaprine belongs to the class of skeletal muscle relaxants and should not be taken for more than 3 weeks. It should be taken with caution if pregnant or breastfeeding, over 65 years old, and requires specific dosage for effectiveness. Cyclobenzaprine should not be taken with MAO inhibitors due to potential drug interactions. It comes as a tablet and extended-release capsule, is stored at room temperature, and may cause dry mouth, dizziness, nausea, constipation, heartburn, and extreme tiredness.","['Cyclobenzaprine  belongs to the class of  skeletal muscle relaxants', 'Cyclobenzaprine  should not be taken for  more than 3 weeks', 'Cyclobenzaprine  should be taken with caution if  pregnant or breastfeeding  over 65 years old', 'Cyclobenzaprine  requires  specific dosage for effectiveness', 'Cyclobenzaprine  should not be taken with  MAO inhibitors due to potential drug interactions', 'Cyclobenzaprine  should be disposed of  through a medicine take back program', 'Cyclobenzaprine  can make  effects of alcohol worse', 'Cyclobenzaprine  comes as  tablet and extended release capsule', 'Cyclobenzaprine  is stored at  room temperature', 'Cyclobenzaprine  may cause  dry mouth dizziness nausea constipation heartburn extreme tiredness']",0.8314559459686279,0.828117847442627,0.8297834992408752
9,can i take tea with azithromycin?,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.","No, you should not take tea with azithromycin. Azithromycin should be taken on an empty stomach as a one-time dose.","['Azithromycin  may cause  side effects', 'Azithromycin  should not be taken with  antacids containing aluminum or magnesium', 'Azithromycin  is used to treat  bacterial infections', 'Azithromycin  is contraindicated for  patients with liver problems  pregnant or breastfeeding patients  patients with prolonged QT interval', 'Azithromycin  should be taken  once a day for 1 5 days  once weekly for MAC prevention  on an empty stomach as a one time dose', 'Azithromycin  comes as  tablet  extended release suspension  suspension', 'Azithromycin  should be stored at  room temperature', 'Azithromycin  requires  specific dosage', 'Azithromycin  is prescribed for  bronchitis  pneumonia  sexually transmitted diseases STD  ear infections  lung infections  sinus infections  skin infections  throat infections  reproductive organ infections  disseminated Mycobacterium avium complex MAC infection', 'Interactions with other medications  may require  dosage adjustments or monitoring for side effects']",0.8620110750198364,0.7659107446670532,0.8111243844032288
10,is zolpidem a drug?,Zolpidem belongs to a class of medications called sedative-hypnotics.,"Yes, zolpidem is a drug used to improve sleep problems within 7 to 10 days. It should be taken once daily before bedtime and should not be taken if unable to remain asleep for the required hours. Zolpidem may require monitoring for side effects if taken with other medications and should be used with caution in patients with a history of substance abuse and older adults. It is contraindicated with alcohol and may lead to withdrawal symptoms if discontinued abruptly after long-term use. Consultation with a doctor is required if severe side effects occur, unusual sleep behaviors occur, there is a history of mental health issues, if pregnant or breastfeeding, or if taken for longer than 2 weeks. Zolpidem may cause serious sleep behaviors, drowsiness, decreased mental alertness, memory problems, and coordination issues.","['Zolpidem  should improve sleep problems within  7 to 10 days', 'Zolpidem  may require  Monitoring for side effects if taken with other medications', 'Zolpidem  should not be taken if  Unable to remain asleep for required hours', 'Zolpidem  should be used with caution in  Patients with a history of substance abuse  Older adults', 'Zolpidem  may lead to  Withdrawal symptoms if discontinued abruptly after long term use', 'Zolpidem  is contraindicated with  Alcohol', 'Zolpidem  requires  Consultation with doctor if severe side effects occur  Consultation with doctor if unusual sleep behaviors occur  Consultation with doctor if history of mental health issues  Consultation with doctor if pregnant or breastfeeding  Consultation with doctor if taken for longer than 2 weeks', 'Zolpidem  may cause  Serious sleep behaviors  Drowsiness and decreased mental alertness  Serious or life threatening sleep behaviors  Memory problems and coordination issues', 'Zolpidem  should be taken  Once daily before bedtime  Immediately before bedtime', 'Zolpidem  should not be taken  If unable to remain asleep for required hours  More than once daily  If planning to drive or operate machinery the next day']",0.7925629615783691,0.8503826856613159,0.8204554319381714
