ID,Question,GT_Answer,SKnowGPT_gpt3,Mindmap,gpt3,Only_KG,GPT_ranking
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","It sounds like you may be experiencing panic attacks. It's important to seek medical help to address your symptoms. Treatment options may include medications like lorazepam or therapy. Additionally, your doctor may recommend tests like an electrocardiogram to rule out other potential causes. Don't hesitate to reach out for support.","
Based on the symptoms described, the patient may have panic disorder. To confirm the diagnosis, medical tests such as psychological and psychiatric evaluation and therapy may be needed. Recommended medications for panic disorder include fluvoxamine (Luvox), clomipramine, and acamprosate (Campral).

","**Answer:**
I'm sorry to hear that you are experiencing panic attacks. It's important to seek help from a mental health professional, such as a therapist or psychiatrist, who can provide you with the appropriate treatment and support. In the meantime, you can try practicing relaxation techniques, such as deep breathing exercises or mindfulness meditation, to help manage your symptoms. Avoiding caffeine, alcohol, and other stimulants can also help reduce the frequency of panic attacks. Remember, you are not alone and there are resources available to help you through this difficult time.","['Panic attack need medication Lorazepam Mecamylamine Grepafloxacin (Raxar) Etodolac Etanercept (Enbrel) Rosiglitazone (Avandia) Pseudoephedrine (Pcm-La) Oxymetazoline Nasal Varenicline (Chantix) Sodium Salicylate Felodipine', 'Panic attack need medical test Electrocardiogram Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Radiographic imaging procedure Plain x-ray (X ray) Kidney function tests (Kidney function test)', 'Panic attack has symptom Anxiety and nervousness Shortness of breath Sharp chest pain Dizziness Chest tightness Irregular heartbeat Breathing fast Fainting Headache Weakness Loss of sensation Difficulty breathing']","1. Output 1
2. Output 2
3. Output 3
4. Output 4"
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","It is important to note that the provided medical knowledge information is empty. In this case, without additional information on possible causes of a hoarse voice, it is recommended to consult a healthcare professional for a proper evaluation and diagnosis. Hoarseness can be caused by various factors such as vocal strain, infections, acid reflux, or even more serious conditions like vocal cord nodules or laryngeal cancer. A healthcare provider will be able to assess your specific symptoms, medical history, and perform any necessary tests to determine the underlying cause and provide appropriate treatment.","
Based on the symptoms described, the patient may have laryngitis, which is inflammation of the vocal cords. To confirm the diagnosis, the patient should undergo a physical examination of the throat and possibly a laryngoscopy, which is an examination of the vocal cords using a scope. Recommended medications for laryngitis include anti-inflammatory drugs such as ibuprofen, as well as steroids to reduce inflammation. It is also recommended to rest the voice and avoid smoking and irritants.

","Hoarseness can be caused by a variety of factors, including infections, allergies, acid reflux, vocal strain, or even more serious conditions such as vocal cord nodules or polyps. Since your hoarseness has persisted for a few weeks despite medication, it would be best to consult with an ear, nose, and throat (ENT) specialist for a thorough evaluation. They may recommend further tests such as a laryngoscopy to examine your vocal cords and determine the underlying cause of your hoarseness. In the meantime, try to rest your voice, stay hydrated, and avoid irritants such as smoking or excessive caffeine intake.",[],"1. Output3
2. Output2
3. Output1
4. Output4"
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","I'm sorry, but based on the information provided, Turner syndrome does not typically present with the symptoms you mentioned. Turner syndrome is a genetic condition that affects females and is characterized by specific physical features and health issues. If you have concerns about Turner syndrome or any other condition, it's best to consult with a healthcare provider for a proper evaluation and diagnosis.","
Based on the symptoms described, it is likely that the patient has Turner syndrome, which is a genetic disorder that affects females. To confirm the diagnosis, the patient should undergo a karyotype test, which examines the chromosomes. Recommended medications for Turner syndrome may include growth hormone therapy, estrogen replacement therapy, and other hormone treatments.

","Hello. I'm here to help. Turner syndrome is a genetic condition that affects females and is caused by a missing or incomplete X chromosome. Common symptoms include short stature, webbed neck, low hairline at the back of the neck, and infertility. If you suspect you have Turner syndrome, I recommend seeing a healthcare provider for a proper diagnosis and to discuss treatment options. They may recommend hormone therapy or other interventions to manage symptoms and improve quality of life. It's important to seek medical advice for a proper evaluation and management plan.","['Turner syndrome has symptom Depression Diminished hearing Groin mass Leg pain Hip pain Suprapubic pain Blood in stool Lack of growth Emotional symptoms Elbow weakness Back weakness Pus in sputum', 'Turner syndrome need medication Somatropin Sulfamethoxazole (Bactrim) Pimecrolimus Topical Hyoscyamine (A-Spas) Ortho Cyclen Carbamazepine Ascorbic Acid Nystatin Topical Product Phenazopyridine (Azo) Nifedipine', 'Turner syndrome need medical test Depression screen (Depression screening) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Echocardiography Examination of breast']","1. Output4
2. Output1
3. Output3
4. Output2"
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on your symptoms of cryptorchidism, you should consider taking the following medical tests: a complete physical skin exam, a pelvis exam, ultrasonography (ultrasound), and a rectal examination. These tests will help determine the extent of the condition and guide the appropriate treatment plan.","
Based on the patient's symptoms, it appears that the patient has cryptorchidism, which is a condition where the testicles do not descend properly into the scrotum. To confirm the diagnosis, the patient should undergo a physical examination of the testicles. If the diagnosis is confirmed, the recommended treatment is surgery to move the testicles into the proper position.

","**Answer:**
If you suspect you have cryptorchidism, it is important to see a healthcare provider for a proper diagnosis and treatment plan. The following medical tests may be recommended:

1. Physical examination: Your healthcare provider will perform a physical examination to assess the position of your testicles.

2. Ultrasound: An ultrasound may be used to visualize the location of the undescended testicle and determine if it is present in the abdomen or inguinal canal.

3. Hormone tests: Blood tests may be done to check hormone levels that could be affecting the descent of the testicles.

4. Laparoscopy: In some cases, a laparoscopy may be performed to directly visualize the undescended testicle and determine the best course of treatment.

It is important to seek medical advice and follow the recommendations of your healthcare provider to address cryptorchidism and prevent potential complications.","['Cryptorchidism need medical test Occupational therapy assessment (Speech therapy) Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Pelvis exam Rectal examination Other OR therapeutic procedures; male genital Other OR therapeutic nervous system procedures', 'Cryptorchidism has symptom Lack of growth Symptoms of the scrotum and testes Swelling of scrotum Pain in testicles Flatulence Pus draining from ear Jaundice Mass in scrotum White discharge from eye Irritable infant', 'Cryptorchidism need medication Haemophilus B Conjugate Vaccine (Obsolete) Hepatitis B Vaccine (Obsolete) Rotavirus Vaccines (Rotavirus Vaccine) Desoximetasone Topical']","1. Output 1
2. Output 3
3. Output 2
4. Output 4"
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Drinking ethylene glycol is a serious concern as it can lead to poisoning. It is important to seek immediate medical attention. You may need tests such as hematologic tests, glucose measurement, and a complete blood count. Treatment may include intravenous fluid replacement and thiamine. Do not delay seeking medical help in this situation.","
Based on the symptoms described, the patient may have ethylene glycol poisoning. To confirm the diagnosis, the patient should undergo medical tests such as toxicology screen, complete blood count (CBC), and blood alcohol measurement. The recommended medications for ethylene glycol poisoning include fomepizole and ethanol, which can help prevent the formation of toxic metabolites.

","**Answer:**
I'm sorry to hear that you may have ingested ethylene glycol, which is a toxic substance commonly found in antifreeze. It is important that you seek immediate medical attention by calling emergency services or going to the nearest hospital. Ethylene glycol poisoning can be life-threatening and requires prompt treatment to prevent serious complications. Please do not delay in seeking help.",[],"1. Output1
2. Output2
3. Output3
4. Output4"
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Your symptoms of vaginal dryness and pain during intercourse could be related to atrophic vaginitis or vaginismus. To determine the exact cause, you may need a pelvic exam, a vaginal pH test, and possibly a biopsy. It's important to see a healthcare provider for an accurate diagnosis and appropriate treatment.","
Based on the symptoms described, the patient may have vaginal atrophy, which is a thinning, drying, and inflammation of the vaginal walls due to a decrease in estrogen levels. To confirm the diagnosis, the patient should undergo a pelvic exam and possibly a Pap smear or urinalysis. Recommended medications for vaginal atrophy include estrogen therapy in the form of vaginal creams, tablets, or rings.

","It sounds like you may be experiencing symptoms of vaginal dryness and discomfort, which can be caused by a variety of factors such as hormonal changes, certain medications, stress, or underlying medical conditions. Pain during sex could also be a sign of conditions such as vaginal infections, pelvic inflammatory disease, or endometriosis.

I would recommend scheduling an appointment with your gynecologist for a thorough evaluation. They may recommend tests such as a pelvic exam, vaginal swab for infections, blood tests to check hormone levels, or imaging tests like ultrasound to determine the underlying cause of your symptoms.

In the meantime, you can try using water-based lubricants during sex to help with the discomfort. Avoid using scented products or harsh soaps in the vaginal area, and wear cotton underwear to allow for better airflow. It's important to address these symptoms with your healthcare provider to receive proper diagnosis and treatment.","['Vaginal_dryness possible_disease Atrophic_vaginitis has_symptom Pain_during_intercourse', 'Pain during intercourse possible disease Atrophic vaginitis Vaginitis Female infertility of unknown cause Priapism Bladder cancer Hyperosmotic hyperketotic state Blepharospasm Vaginismus Premature ovarian failure Erectile dysfunction Psychosexual disorder Vulvar disorder Prostate cancer Lichen simplex Fibroadenoma Cervical disorder', 'Vaginal_dryness possible_disease Fibroadenoma has_symptom Pain_during_intercourse', 'Vaginal_dryness possible_disease Vaginismus has_symptom Pain_during_intercourse', 'Vaginal dryness possible disease Atrophic vaginitis Anal fissure Metastatic cancer Vaginismus Menopause Breast cyst Fibroadenoma', 'Vaginal_dryness possible_disease Vaginismus has_symptom Vaginal_pain', 'Vaginal_pain possible_disease Vaginitis has_symptom Pain_during_intercourse', 'Vaginal_dryness possible_disease Vaginismus', 'Vaginal_pain possible_disease Cervical_disorder has_symptom Pain_during_intercourse', 'Vaginal_pain possible_disease Vulvar_disorder has_symptom Pain_during_intercourse']","1. Output 2
2. Output 1
3. Output 3
4. Output 4"
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on your symptoms and the information provided, it is possible that you have fractured your hand while playing basketball. To confirm this, you will need to undergo a plain x-ray to assess the extent of the injury. In the meantime, it is important to immobilize your hand and avoid putting any pressure on it. I recommend seeking medical attention as soon as possible for proper diagnosis and treatment.","
Based on the symptoms described, the patient may have a fracture of the hand. To confirm the diagnosis, the patient should undergo a physical examination and imaging tests such as X-rays. Recommended medications for a fracture include pain relievers such as acetaminophen or ibuprofen, and in some cases, a splint or cast may be necessary.


","Hello, I'm sorry to hear about your injury. It's important to seek medical attention as soon as possible to properly diagnose and treat a potential fracture. In the meantime, you can apply ice to reduce swelling and pain, elevate your hand above heart level, and avoid moving it to prevent further damage. It's best to immobilize the hand with a splint or brace until you can see a doctor. Take care and I hope you feel better soon.",[],"1. Output 1
2. Output 2
3. Output 3
4. Output 4"
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on your symptoms of mouth pain, swelling, and difficulty eating, it could be related to an open wound in the mouth or a broken tooth. To properly diagnose and treat the issue, it is recommended to see a dentist for a thorough examination. They may suggest treatments such as antibiotics, pain relief, or dental procedures based on the underlying cause.","
Based on the symptoms described, the patient may have a salivary gland disorder, which can cause gum pain and swelling around the mouth and jaw. To confirm the diagnosis, the patient should undergo a physical examination, such as a complete physical skin exam performed by machine learning, and possibly a biopsy or other diagnostic procedures. Recommended medications for salivary gland disorder may include antibiotics, anti-inflammatory drugs, and pain relievers.

","**Response:**
It sounds like you may have an infection or inflammation in your mouth. I recommend you schedule an appointment with a dentist or oral surgeon as soon as possible to have it evaluated. In the meantime, you can try rinsing your mouth with warm salt water to help reduce inflammation and pain. Avoid eating hard or spicy foods that may aggravate the condition. It's important to seek professional medical advice to determine the cause of the swelling and pain in your mouth.",['Mouth pain possible disease Esophageal cancer Oral leukoplakia Open wound of the mouth Pemphigus Lymphoma Gum disease Leukemia Anemia due to malignancy Pituitary disorder Dental caries Thrombocytopenia Head and neck cancer Scarlet fever Tooth abscess Open wound of the lip Oral mucosal lesion Tooth disorder Oral thrush (yeast infection) Fracture of the jaw Broken tooth Injury to the face Jaw disorder Human immunodeficiency virus infection (HIV) Aphthous ulcer Intestinal cancer Mucositis Open wound of the jaw White blood cell disease'],"1. Output 1
2. Output 2
3. Output 3
4. Output 4"
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.",Your symptoms of double vision and eye strain could be related to an eye alignment disorder. It is important to have a thorough evaluation by an ophthalmologist to determine the underlying cause. Tests such as an eye exam and other diagnostic procedures may be necessary to identify the specific issue and develop a treatment plan. It is essential to address this concern promptly to prevent any further complications.,"
Based on the symptoms described, the patient may have a condition called strabismus, which is an eye alignment disorder. To confirm the diagnosis, the patient should undergo an eye examination, which may include a cover test or a visual acuity test. The recommended medications for strabismus depend on the cause of the condition and may include eye patches, glasses, or corrective surgery.

","It sounds like you may be experiencing symptoms of a condition called strabismus, which is when the eyes are not properly aligned and do not work together. This can lead to double vision and eye strain. I recommend that you schedule an appointment with an eye doctor or ophthalmologist for a comprehensive eye exam. They will be able to assess your eye alignment and determine the best course of treatment, which may include glasses, vision therapy, or in some cases, surgery. It's important to address this issue promptly to prevent any further discomfort or vision problems.","['Double_vision possible_disease Eye_alignment_disorder', 'Double_vision possible_disease Eye_alignment_disorder need_medical_test Ophthalmologic_and_otologic_diagnosis_and_treatment', 'Double_vision possible_disease Eye_alignment_disorder need_medical_test Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Cross-eyed', 'Double vision possible disease Eye alignment disorder Diabetic retinopathy Corneal disorder Astigmatism Cranial nerve palsy Concussion Chorioretinitis Myasthenia gravis Acute glaucoma Thyroid disease Macular degeneration Pinguecula Chronic glaucoma Retinal detachment Muscular dystrophy Dry eye of unknown cause Vitreous degeneration Cataract Toxic multinodular goiter Central retinal artery or vein occlusion Head injury Fracture of the facial bones Histoplasmosis', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Lack_of_growth', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Swollen_lymph_nodes', 'Eye_alignment_disorder need_medical_test Ophthalmologic_and_otologic_diagnosis_and_treatment', 'Eye_alignment_disorder need_medical_test Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Eye strain possible disease Fetal alcohol syndrome Cryptococcosis Amyloidosis Dislocation of the ankle Hirschsprung disease Dislocation of the foot Syndrome of inappropriate secretion of ADH (SIADH) Scurvy Vitamin A deficiency Edward syndrome Meckel diverticulum Dislocation of the wrist Mumps Acute fatty liver of pregnancy (AFLP) Carcinoid syndrome Rheumatic fever Patau syndrome']","1. Output 1
2. Output 2
3. Output 3
4. Output 4"
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on your symptoms of headaches after a lumbar puncture, you may be experiencing a post-dural puncture headache. To address this, you may need to undergo tests such as an IV fluid replacement, hematologic tests (blood test), complete blood count (CBC), glucose measurement, electrolytes panel, kidney function tests, and liver function tests. Additionally, medications like Dexamethasone, Tobramycin Ophthalmic, and others may be prescribed to manage your symptoms effectively. It is important to consult with your healthcare provider for a proper evaluation and treatment plan.","
Based on the symptoms described, the patient may be experiencing headaches as a result of a complication from the lumbar puncture. To confirm the diagnosis, the patient should undergo a physical examination and imaging tests such as a CT scan or MRI. The recommended medications for post-lumbar puncture headaches include caffeine and pain relievers such as acetaminophen. If the headaches persist, a blood patch may be necessary to seal the puncture site.

","It is not uncommon to experience headaches after a lumbar puncture, also known as a spinal tap. These headaches are typically caused by a leak of cerebrospinal fluid from the puncture site. 

If you are experiencing persistent headaches after a lumbar puncture, it is important to follow up with your healthcare provider. They may recommend the following tests:

1. Blood tests to check for any signs of infection or other underlying conditions.
2. Imaging tests such as a CT scan or MRI to evaluate the puncture site and surrounding structures.
3. A repeat lumbar puncture to assess for any ongoing leakage of cerebrospinal fluid.

It is important to seek medical attention if you are experiencing severe or worsening headaches, as well as any other concerning symptoms such as fever, neck stiffness, or changes in vision or consciousness. Your healthcare provider will be able to determine the appropriate tests and treatment plan based on your individual situation.",[],"1. Output 1
2. Output 3
3. Output 2
4. Output 4"
