ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","It sounds like you may be experiencing panic attacks. It's important to seek medical help to address your symptoms. Treatment options may include medications like lorazepam or therapy. Additionally, your doctor may recommend tests like an electrocardiogram to rule out other potential causes. Don't hesitate to reach out for support.","['Panic attack need medication Lorazepam Mecamylamine Grepafloxacin (Raxar) Etodolac Etanercept (Enbrel) Rosiglitazone (Avandia) Pseudoephedrine (Pcm-La) Oxymetazoline Nasal Varenicline (Chantix) Sodium Salicylate Felodipine', 'Panic attack need medical test Electrocardiogram Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Radiographic imaging procedure Plain x-ray (X ray) Kidney function tests (Kidney function test)', 'Panic disorder need medication Lorazepam Alprazolam (Xanax) Clonazepam Paroxetine (Paxil) Venlafaxine (Effexor) Mirtazapine Buspirone (Buspar) Fluvoxamine (Luvox) Imipramine Desvenlafaxine (Pristiq) Clomipramine Acamprosate (Campral)', 'Panic_attack need_medication Lorazepam possible_cure_disease Panic_disorder', 'Panic attack has symptom Anxiety and nervousness Shortness of breath Sharp chest pain Dizziness Chest tightness Irregular heartbeat Breathing fast Fainting Headache Weakness Loss of sensation Difficulty breathing', 'Panic_attack need_medical_test Electrocardiogram can_check_disease Panic_disorder', 'Panic_attack has_symptom Irregular_heartbeat possible_disease Panic_disorder', 'Panic_attack has_symptom Shortness_of_breath possible_disease Panic_disorder', 'Panic_attack has_symptom Breathing_fast possible_disease Panic_disorder', 'Panic_attack has_symptom Anxiety_and_nervousness possible_disease Panic_disorder']"
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","It is important to note that the provided medical knowledge information is empty. In this case, without additional information on possible causes of a hoarse voice, it is recommended to consult a healthcare professional for a proper evaluation and diagnosis. Hoarseness can be caused by various factors such as vocal strain, infections, acid reflux, or even more serious conditions like vocal cord nodules or laryngeal cancer. A healthcare provider will be able to assess your specific symptoms, medical history, and perform any necessary tests to determine the underlying cause and provide appropriate treatment.",[]
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","I'm sorry, but based on the information provided, Turner syndrome does not typically present with the symptoms you mentioned. Turner syndrome is a genetic condition that affects females and is characterized by specific physical features and health issues. If you have concerns about Turner syndrome or any other condition, it's best to consult with a healthcare provider for a proper evaluation and diagnosis.","['Turner syndrome has symptom Depression Diminished hearing Groin mass Leg pain Hip pain Suprapubic pain Blood in stool Lack of growth Emotional symptoms Elbow weakness Back weakness Pus in sputum', 'Turner syndrome need medication Somatropin Sulfamethoxazole (Bactrim) Pimecrolimus Topical Hyoscyamine (A-Spas) Ortho Cyclen Carbamazepine Ascorbic Acid Nystatin Topical Product Phenazopyridine (Azo) Nifedipine', 'Turner syndrome need medical test Depression screen (Depression screening) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Echocardiography Examination of breast']"
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on your symptoms of cryptorchidism, you should consider taking the following medical tests: a complete physical skin exam, a pelvis exam, ultrasonography (ultrasound), and a rectal examination. These tests will help determine the extent of the condition and guide the appropriate treatment plan.","['Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML)', 'Cryptorchidism need_medical_test Pelvis_exam', 'Cryptorchidism need_medical_test Ultrasonography_(Ultrasound)', 'Cryptorchidism need medical test Occupational therapy assessment (Speech therapy) Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Pelvis exam Rectal examination Other OR therapeutic procedures; male genital Other OR therapeutic nervous system procedures', 'Cryptorchidism need_medical_test Rectal_examination', 'Cryptorchidism need_medical_test Occupational_therapy_assessment_(Speech_therapy)', 'Hirsutism need_medical_test Hematologic_tests_(Blood_test)', 'Testicular_disorder need_medical_test Rectal_examination can_check_disease Cryptorchidism', 'Pain_in_testicles possible_disease Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML)', 'Pain_in_testicles possible_disease Cryptorchidism need_medical_test Pelvis_exam']"
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Drinking ethylene glycol is a serious concern as it can lead to poisoning. It is important to seek immediate medical attention. You may need tests such as hematologic tests, glucose measurement, and a complete blood count. Treatment may include intravenous fluid replacement and thiamine. Do not delay seeking medical help in this situation.","['Poisoning_due_to_ethylene_glycol need_medical_test Hematologic_tests_(Blood_test)', 'Poisoning_due_to_ethylene_glycol need_medical_test Glucose_measurement_(Glucose_level)', 'Poisoning_due_to_ethylene_glycol need_medical_test Complete_blood_count_(Cbc)', 'Poisoning_due_to_ethylene_glycol has_symptom Depressive_or_psychotic_symptoms', 'Depression possible_disease Poisoning_due_to_ethylene_glycol need_medical_test Hematologic_tests_(Blood_test)', 'Fainting possible_disease Poisoning_due_to_ethylene_glycol', 'Drug_abuse possible_disease Poisoning_due_to_ethylene_glycol', 'Poisoning_due_to_ethylene_glycol need_medication Thiamine', 'Depression possible_disease Poisoning_due_to_ethylene_glycol', 'Poisoning_due_to_ethylene_glycol need_medical_test Intravenous_fluid_replacement']"
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Your symptoms of vaginal dryness and pain during intercourse could be related to atrophic vaginitis or vaginismus. To determine the exact cause, you may need a pelvic exam, a vaginal pH test, and possibly a biopsy. It's important to see a healthcare provider for an accurate diagnosis and appropriate treatment.","['Vaginal_dryness possible_disease Atrophic_vaginitis has_symptom Pain_during_intercourse', 'Pain during intercourse possible disease Atrophic vaginitis Vaginitis Female infertility of unknown cause Priapism Bladder cancer Hyperosmotic hyperketotic state Blepharospasm Vaginismus Premature ovarian failure Erectile dysfunction Psychosexual disorder Vulvar disorder Prostate cancer Lichen simplex Fibroadenoma Cervical disorder', 'Vaginal_dryness possible_disease Fibroadenoma has_symptom Pain_during_intercourse', 'Vaginal_dryness possible_disease Vaginismus has_symptom Pain_during_intercourse', 'Vaginal dryness possible disease Atrophic vaginitis Anal fissure Metastatic cancer Vaginismus Menopause Breast cyst Fibroadenoma', 'Vaginal_dryness possible_disease Vaginismus has_symptom Vaginal_pain', 'Vaginal_pain possible_disease Vaginitis has_symptom Pain_during_intercourse', 'Vaginal_dryness possible_disease Vaginismus', 'Vaginal_pain possible_disease Cervical_disorder has_symptom Pain_during_intercourse', 'Vaginal_pain possible_disease Vulvar_disorder has_symptom Pain_during_intercourse']"
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on your symptoms and the information provided, it is possible that you have fractured your hand while playing basketball. To confirm this, you will need to undergo a plain x-ray to assess the extent of the injury. In the meantime, it is important to immobilize your hand and avoid putting any pressure on it. I recommend seeking medical attention as soon as possible for proper diagnosis and treatment.","['Fracture_of_the_hand need_medical_test Plain_x-ray_(X_ray)', 'Arm_pain possible_disease Fracture_of_the_hand', 'Fracture_of_the_hand need_medical_test Traction;_splints;_and_other_wound_care', 'Fracture_of_the_hand has_symptom Arm_stiffness_or_tightness', 'Arm_stiffness_or_tightness possible_disease Fracture_of_the_hand', 'Fracture of the hand need medical test Physical therapy exercises (Exercises) Radiographic imaging procedure Plain x-ray (X ray) Application of splint (Splinting) Orthopedic casting Traction; splints; and other wound care Other non-OR therapeutic procedures on musculoskeletal system', 'Hand_or_finger_pain possible_disease Fracture_of_the_hand', 'Fracture_of_the_hand has_symptom Wrist_pain possible_disease Sprain_or_strain', 'Fracture_of_the_hand need_medical_test Other_non-OR_therapeutic_procedures_on_musculoskeletal_system', 'Fracture_of_the_hand has_symptom Hand_or_finger_pain']"
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on your symptoms of mouth pain, swelling, and difficulty eating, it could be related to an open wound in the mouth or a broken tooth. To properly diagnose and treat the issue, it is recommended to see a dentist for a thorough examination. They may suggest treatments such as antibiotics, pain relief, or dental procedures based on the underlying cause.","['Mouth_pain possible_disease Open_wound_of_the_mouth has_symptom Lip_swelling', 'Mouth_pain possible_disease Open_wound_of_the_jaw has_symptom Lip_swelling', 'Difficulty_eating possible_disease Broken_tooth has_symptom Mouth_pain', 'Mouth_pain possible_disease Open_wound_of_the_lip has_symptom Lip_swelling', 'Difficulty_eating possible_disease Fracture_of_the_facial_bones has_symptom Lip_swelling', 'Mouth_pain possible_disease Oral_mucosal_lesion has_symptom Lip_swelling', 'Mouth_pain possible_disease Scarlet_fever has_symptom Throat_swelling', 'Difficulty_eating possible_disease Broken_tooth has_symptom Lip_swelling', 'Difficulty_eating possible_disease Congenital_malformation_syndrome has_symptom Gum_pain', 'Difficulty_eating possible_disease Broken_tooth has_symptom Gum_pain']"
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.",Your symptoms of double vision and eye strain could be related to an eye alignment disorder. It is important to have a thorough evaluation by an ophthalmologist to determine the underlying cause. Tests such as an eye exam and other diagnostic procedures may be necessary to identify the specific issue and develop a treatment plan. It is essential to address this concern promptly to prevent any further complications.,"['Eye alignment disorder has symptom Lack of growth Eye deviation Diminished vision Double vision Cross-eyed Symptoms of eye Pain in eye Eye moves abnormally Abnormal movement of eyelid Foreign body sensation in eye Irregular appearing scalp Swollen lymph nodes', 'Double_vision possible_disease Eye_alignment_disorder', 'Symptoms_of_eye possible_disease Eye_alignment_disorder has_symptom Double_vision', 'Eye alignment disorder need medication Phenylephrine (Duramax) Atropine (Uaa) Cyclopentolate Ophthalmic Tropicamide Ophthalmic Dexamethasone-Tobramycin Ophthalmic Methazolamide (Mzm) Fluorescein Orlistat (Alli) Colloidal Oatmeal Topical Benzylpenicilloyl Polylysine (Pre-Pen)', 'Eye_alignment_disorder has_symptom Double_vision', 'Eye alignment disorder need medical test Occupational therapy assessment (Speech therapy) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Other therapeutic procedures on eyelids; conjunctiva; cornea Other therapeutic procedures Ophthalmic examination and evaluation (Eye exam) Other extraocular muscle and orbit therapeutic procedures', 'Double vision possible disease Eye alignment disorder Diabetic retinopathy Corneal disorder Astigmatism Cranial nerve palsy Concussion Chorioretinitis Myasthenia gravis Acute glaucoma Thyroid disease Macular degeneration Pinguecula Chronic glaucoma Retinal detachment Muscular dystrophy Dry eye of unknown cause Vitreous degeneration Cataract Toxic multinodular goiter Central retinal artery or vein occlusion Head injury Fracture of the facial bones Histoplasmosis', 'Pinguecula has_symptom Double_vision possible_disease Eye_alignment_disorder', 'Symptoms_of_eye possible_disease Eye_alignment_disorder', 'Symptoms_of_eye possible_disease Eye_alignment_disorder need_medical_test Ophthalmologic_and_otologic_diagnosis_and_treatment']"
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on your symptoms of headaches after a lumbar puncture, you may be experiencing a post-dural puncture headache. To address this, you may need to undergo tests such as an IV fluid replacement, hematologic tests (blood test), complete blood count (CBC), glucose measurement, electrolytes panel, kidney function tests, and liver function tests. Additionally, medications like Dexamethasone, Tobramycin Ophthalmic, and others may be prescribed to manage your symptoms effectively. It is important to consult with your healthcare provider for a proper evaluation and treatment plan.","['Headache after lumbar puncture need medical test Intravenous fluid replacement Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Electrolytes panel Kidney function tests (Kidney function test) Liver function tests (Liver test)', 'Headache after lumbar puncture need medication Dexamethasone-Tobramycin Ophthalmic Hydromorphone (Dilaudid) Caffeine Prochlorperazine (Compro) Midazolam (Versed) Caffeine-Sodium Benzoate Zidovudine Zolmitriptan (Zomig)', 'Headache after lumbar puncture has symptom Dizziness Vomiting Headache Nausea Painful urination Back pain Neck pain Low back pain Pain of the anus Pain during pregnancy Pelvic pain Impotence']"
