ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","Based on your symptoms, it's likely that you're experiencing panic attacks. To better understand the situation and rule out any underlying conditions, I recommend that we conduct some medical tests. These may include an electrocardiogram (ECG), complete blood count (CBC), glucose measurement, radiographic imaging procedure such as a plain x-ray, and kidney function tests.

In the meantime, to help manage your symptoms, I can prescribe you with medications such as Lorazepam, Alprazolam, Clonazepam, or Paroxetine. These can help alleviate anxiety and nervousness associated with panic attacks.

It's essential that we work together to identify the root cause of your panic attacks and develop a personalized treatment plan. This may involve psychotherapy, mental health counseling, and other forms of therapy to address any underlying psychological factors contributing to your condition.

Let's take this one step at a time, and I'll guide you through the process to ensure we find an effective solution for your panic attacks.","['Panic attack need medication Lorazepam Mecamylamine Grepafloxacin (Raxar) Etodolac Etanercept (Enbrel) Rosiglitazone (Avandia) Pseudoephedrine (Pcm-La) Oxymetazoline Nasal Varenicline (Chantix) Sodium Salicylate Felodipine', 'Panic attack need medical test Electrocardiogram Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Radiographic imaging procedure Plain x-ray (X ray) Kidney function tests (Kidney function test)', 'Panic disorder need medication Lorazepam Alprazolam (Xanax) Clonazepam Paroxetine (Paxil) Venlafaxine (Effexor) Mirtazapine Buspirone (Buspar) Fluvoxamine (Luvox) Imipramine Desvenlafaxine (Pristiq) Clomipramine Acamprosate (Campral)', 'Panic attack has symptom Anxiety and nervousness Shortness of breath Sharp chest pain Dizziness Chest tightness Irregular heartbeat Breathing fast Fainting Headache Weakness Loss of sensation Difficulty breathing', 'Panic_disorder need_medication Lorazepam possible_cure_disease Panic_attack', 'Panic_disorder need_medical_test Electrocardiogram can_check_disease Panic_attack', 'Panic disorder has symptom Anxiety and nervousness Depression Shortness of breath Depressive or psychotic symptoms Sharp chest pain Dizziness Insomnia Abnormal involuntary movements Chest tightness Palpitations Irregular heartbeat Breathing fast', 'Panic disorder need medical test Psychotherapy Mental health counseling Electrocardiogram Depression screen (Depression screening) Toxicology screen Psychological and psychiatric evaluation and therapy', 'Panic_disorder has_symptom Irregular_heartbeat possible_disease Panic_attack', 'Panic_disorder has_symptom Shortness_of_breath possible_disease Panic_attack']"
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on your symptoms of having a hoarse voice for a few weeks without improvement despite taking medication, I'm concerned that there might be an underlying condition that needs to be addressed.

Since you didn't provide any additional medical knowledge information, I'll have to rely on general medical knowledge. Hoarseness can be caused by various factors such as vocal cord strain, acid reflux, allergies, or even more serious conditions like laryngeal cancer.

To better diagnose the issue, I would recommend a thorough examination of your throat and vocal cords, possibly using laryngoscopy or other imaging tests. We may also need to review your medication list to ensure that it's not contributing to the hoarseness.

Can you please provide more information about the medication you've been taking and any other symptoms you're experiencing? This will help me narrow down the possible causes and recommend appropriate next steps.",[]
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on your symptoms, it's possible that you may have Turner syndrome. However, to confirm the diagnosis, we need to conduct some medical tests. 

We will start with a depression screen, ophthalmologic and otologic diagnosis and treatment, complete physical skin exam, ultrasonography (ultrasound), echocardiography, and an examination of your breast. 

Once the test results are available, we can discuss further treatment options, which may include medications such as Somatropin, Sulfamethoxazole (Bactrim), Pimecrolimus Topical, Hyoscyamine (A-Spas), Ortho Cyclen, Carbamazepine, Ascorbic Acid, Nystatin Topical Product, Phenazopyridine (Azo), and Nifedipine.

Let's take it one step at a time. We'll review the test results together and create a personalized treatment plan to address your specific needs.","['Turner syndrome has symptom Depression Diminished hearing Groin mass Leg pain Hip pain Suprapubic pain Blood in stool Lack of growth Emotional symptoms Elbow weakness Back weakness Pus in sputum', 'Turner syndrome need medication Somatropin Sulfamethoxazole (Bactrim) Pimecrolimus Topical Hyoscyamine (A-Spas) Ortho Cyclen Carbamazepine Ascorbic Acid Nystatin Topical Product Phenazopyridine (Azo) Nifedipine', 'Turner syndrome need medical test Depression screen (Depression screening) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Echocardiography Examination of breast']"
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on your symptoms of cryptorchidism, where your testicles have not descended properly into the scrotum, we will need to conduct a series of medical tests to assess the situation. These tests may include a complete physical skin exam, a pelvis exam, ultrasonography (ultrasound), rectal examination, and occupational therapy assessment (speech therapy). These tests will help us determine the best course of action to address your condition effectively.","['Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML)', 'Cryptorchidism need_medical_test Pelvis_exam can_check_disease Cryptorchidism', 'Cryptorchidism need_medical_test Pelvis_exam', 'Cryptorchidism need_medical_test Ultrasonography_(Ultrasound)', 'Cryptorchidism need medical test Occupational therapy assessment (Speech therapy) Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Pelvis exam Rectal examination Other OR therapeutic procedures; male genital Other OR therapeutic nervous system procedures', 'Cryptorchidism need_medical_test Rectal_examination', 'Cryptorchidism need_medical_test Occupational_therapy_assessment_(Speech_therapy) can_check_disease Cryptorchidism', 'Cryptorchidism need_medical_test Occupational_therapy_assessment_(Speech_therapy)', 'Cryptorchidism need_medical_test Pelvis_exam can_check_disease Acute_fatty_liver_of_pregnancy_(AFLP)', 'Cryptorchidism need_medical_test Pelvis_exam can_check_disease Syringomyelia']"
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","You've ingested ethylene glycol by mistake and are worried about poisoning. This is a serious situation, and we need to act quickly.

First, I want to reassure you that we can manage this condition with prompt medical attention. Based on your symptoms, I suspect poisoning due to ethylene glycol consumption.

To confirm the diagnosis, we'll need to run some tests, including hematologic tests (blood tests), a toxicology screen, glucose measurement (glucose level), and a complete blood count (CBC). These tests will help us determine the extent of the poisoning and guide our treatment plan.

In the meantime, I'm going to prescribe Magnesium Sulfate as an antidote to help counteract the effects of ethylene glycol. This medication can help mitigate the damage caused by the poison.

Please remain calm, and let's work together to get you the medical attention you need. We'll monitor your condition closely and adjust our treatment plan as necessary.

Remember, prompt medical attention is crucial in cases like this, so I'm glad you reached out for help.","['Poisoning_due_to_ethylene_glycol need_medical_test Hematologic_tests_(Blood_test)', 'Poisoning_due_to_ethylene_glycol need_medical_test Toxicology_screen', 'Poisoning_due_to_ethylene_glycol need_medical_test Glucose_measurement_(Glucose_level)', 'Poisoning_due_to_ethylene_glycol need_medical_test Complete_blood_count_(Cbc)', 'Poisoning_due_to_ethylene_glycol has_symptom Depressive_or_psychotic_symptoms', 'Poisoning_due_to_ethylene_glycol need_medical_test Toxicology_screen can_check_disease Poisoning_due_to_antidepressants', 'Poisoning_due_to_ethylene_glycol has_symptom Sharp_abdominal_pain', 'Poisoning_due_to_ethylene_glycol need_medical_test Toxicology_screen can_check_disease Poisoning_due_to_antipsychotics', 'Poisoning_due_to_ethylene_glycol has_symptom Fainting possible_disease Drug_poisoning_due_to_medication', 'Poisoning_due_to_ethylene_glycol need_medication Magnesium_Sulfate possible_cure_disease Drug_poisoning_due_to_medication']"
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Based on your symptoms of discomfort and dryness in the vagina, as well as pain during sex, it's possible that you may be experiencing atrophic vaginitis or vaginismus. These conditions can cause vaginal dryness and pain during intercourse.

To further diagnose and treat your condition, I recommend a physical examination, including a pelvic exam, and possibly some laboratory tests to rule out any underlying infections or other conditions.

Additionally, we may need to discuss your sexual history and any emotional or psychological factors that may be contributing to your symptoms. This will help us develop an effective treatment plan tailored to your specific needs.

Let's schedule a follow-up appointment to discuss the results of your examination and tests, and determine the best course of action to address your symptoms.","['Pain during intercourse possible disease Atrophic vaginitis Vaginitis Female infertility of unknown cause Priapism Bladder cancer Hyperosmotic hyperketotic state Blepharospasm Vaginismus Premature ovarian failure Erectile dysfunction Psychosexual disorder Vulvar disorder Prostate cancer Lichen simplex Fibroadenoma Cervical disorder', 'Pain_during_intercourse possible_disease Atrophic_vaginitis has_symptom Vaginal_dryness', 'Pain_during_intercourse possible_disease Fibroadenoma has_symptom Vaginal_dryness', 'Vaginal dryness possible disease Atrophic vaginitis Anal fissure Metastatic cancer Vaginismus Menopause Breast cyst Fibroadenoma', 'Pain_during_intercourse possible_disease Vaginismus has_symptom Vaginal_dryness', 'Pain_during_intercourse possible_disease Vaginitis has_symptom Vaginal_pain', 'Atrophic_vaginitis has_symptom Vaginal_dryness', 'Vaginal_dryness possible_disease Vaginismus', 'Pain_during_intercourse possible_disease Vaginismus', 'Pain_during_intercourse possible_disease Vulvar_disorder has_symptom Vaginal_pain']"
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on your symptoms, it's likely that you have a fracture in your hand. To confirm this, we'll need to take a plain x-ray (X-ray) of the affected area. Depending on the severity of the fracture, we may need to apply traction, splints, or other wound care procedures to help it heal properly. In some cases, further imaging tests like radiographic imaging procedures may be necessary to rule out other possible causes of your symptoms.

Let's get you scheduled for an x-ray and then discuss the next steps in your treatment plan.","['Fracture_of_the_hand need_medical_test Plain_x-ray_(X_ray)', 'Fracture_of_the_hand has_symptom Hand_or_finger_stiffness_or_tightness possible_disease Nerve_impingement_near_the_shoulder', 'Fracture_of_the_hand need_medical_test Plain_x-ray_(X_ray) can_check_disease Pain_after_an_operation', 'Fracture_of_the_hand has_symptom Hand_or_finger_stiffness_or_tightness', 'Fracture_of_the_hand need_medical_test Traction;_splints;_and_other_wound_care', 'Fracture_of_the_hand need_medical_test Traction;_splints;_and_other_wound_care can_check_disease Infection_of_open_wound', 'Fracture_of_the_hand need_medical_test Radiographic_imaging_procedure can_check_disease Pain_after_an_operation', 'Fracture_of_the_hand need_medical_test Other_non-OR_therapeutic_procedures_on_musculoskeletal_system can_check_disease Chronic_pain_disorder', 'Fracture_of_the_hand has_symptom Hand_or_finger_pain possible_disease Complex_regional_pain_syndrome', 'Fracture_of_the_hand need_medical_test Plain_x-ray_(X_ray) can_check_disease Chronic_back_pain']"
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Based on your symptoms, it's likely that you have an open wound or lesion in your mouth, possibly on your lip or jaw. This could be causing the pain and swelling, making it difficult to eat or talk properly. 

To determine the exact cause of your symptoms, we'll need to perform a thorough examination of your mouth and jaw. We may also need to conduct some diagnostic tests, such as imaging studies or biopsies, to rule out other possible conditions like cancer or anemia due to malignancy.

In the meantime, I recommend applying warm compresses to the affected area to help reduce swelling and ease pain. We'll work together to develop a treatment plan that addresses your specific needs and gets you feeling better soon.","['Mouth_pain possible_disease Open_wound_of_the_mouth has_symptom Lip_swelling', 'Mouth_pain possible_disease Open_wound_of_the_jaw has_symptom Lip_swelling', 'Mouth_pain possible_disease Open_wound_of_the_lip has_symptom Lip_swelling', 'Mouth_pain possible_disease Oral_mucosal_lesion has_symptom Lip_swelling', 'Mouth_pain possible_disease Mucositis has_symptom Difficulty_in_swallowing', 'Throat_swelling possible_disease Cellulitis_or_abscess_of_mouth has_symptom Difficulty_in_swallowing', 'Mouth_pain possible_disease Esophageal_cancer has_symptom Difficulty_in_swallowing', 'Mouth_pain possible_disease Head_and_neck_cancer has_symptom Difficulty_in_swallowing', 'Mouth_pain possible_disease Anemia_due_to_malignancy has_symptom Difficulty_in_swallowing', 'Mouth_pain possible_disease Fracture_of_the_jaw']"
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Based on your symptoms, it's likely that you have an eye alignment disorder. I recommend a comprehensive ophthalmic examination and evaluation (Eye exam) to assess the extent of the issue. Additionally, we may need to conduct other diagnostic procedures such as occupational therapy assessment or speech therapy to determine the underlying cause.

In terms of treatment, I will prescribe medications such as Phenylephrine (Duramax), Atropine (Uaa), Cyclopentolate Ophthalmic, Tropicamide Ophthalmic, and Dexamethasone-Tobramycin Ophthalmic to help alleviate your symptoms. We may also need to consider other therapeutic procedures on eyelids, conjunctiva, or cornea depending on the severity of the condition.

It's essential to rule out other possible causes of double vision, such as diabetic retinopathy, corneal disorder, astigmatism, cranial nerve palsy, and others. We will work together to develop a personalized treatment plan to address your specific needs and improve your eye alignment.","['Eye alignment disorder has symptom Lack of growth Eye deviation Diminished vision Double vision Cross-eyed Symptoms of eye Pain in eye Eye moves abnormally Abnormal movement of eyelid Foreign body sensation in eye Irregular appearing scalp Swollen lymph nodes', 'Double_vision possible_disease Eye_alignment_disorder', 'Double_vision possible_disease Eye_alignment_disorder need_medical_test Ophthalmologic_and_otologic_diagnosis_and_treatment', 'Double_vision possible_disease Eye_alignment_disorder need_medical_test Ophthalmic_examination_and_evaluation_(Eye_exam)', 'Eye alignment disorder need medication Phenylephrine (Duramax) Atropine (Uaa) Cyclopentolate Ophthalmic Tropicamide Ophthalmic Dexamethasone-Tobramycin Ophthalmic Methazolamide (Mzm) Fluorescein Orlistat (Alli) Colloidal Oatmeal Topical Benzylpenicilloyl Polylysine (Pre-Pen)', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Symptoms_of_eye', 'Eye alignment disorder need medical test Occupational therapy assessment (Speech therapy) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Other therapeutic procedures on eyelids; conjunctiva; cornea Other therapeutic procedures Ophthalmic examination and evaluation (Eye exam) Other extraocular muscle and orbit therapeutic procedures', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Cross-eyed', 'Double vision possible disease Eye alignment disorder Diabetic retinopathy Corneal disorder Astigmatism Cranial nerve palsy Concussion Chorioretinitis Myasthenia gravis Acute glaucoma Thyroid disease Macular degeneration Pinguecula Chronic glaucoma Retinal detachment Muscular dystrophy Dry eye of unknown cause Vitreous degeneration Cataract Toxic multinodular goiter Central retinal artery or vein occlusion Head injury Fracture of the facial bones Histoplasmosis', 'Double_vision possible_disease Eye_alignment_disorder has_symptom Lack_of_growth']"
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Based on your symptoms, it's likely that you're experiencing a post-lumbar puncture headache. This is a common complication after a lumbar puncture procedure. To manage this, we'll need to run some tests to rule out any underlying infections or other complications.

I recommend we start with an intravenous fluid replacement, along with some hematologic tests, including a complete blood count (CBC), glucose measurement, electrolytes panel, kidney function tests, and liver function tests. These will help us assess your overall health and identify any potential issues.

In the meantime, I'll prescribe you some medication to help alleviate your symptoms. This may include Dexamethasone-Tobramycin Ophthalmic, Hydromorphone (Dilaudid), Caffeine, Prochlorperazine (Compro), Midazolam (Versed), or Caffeine-Sodium Benzoate.

Let's monitor your condition closely and adjust our treatment plan as needed.","['Headache after lumbar puncture need medical test Intravenous fluid replacement Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Electrolytes panel Kidney function tests (Kidney function test) Liver function tests (Liver test)', 'Headache after lumbar puncture need medication Dexamethasone-Tobramycin Ophthalmic Hydromorphone (Dilaudid) Caffeine Prochlorperazine (Compro) Midazolam (Versed) Caffeine-Sodium Benzoate Zidovudine Zolmitriptan (Zomig)', 'Headache after lumbar puncture has symptom Dizziness Vomiting Headache Nausea Painful urination Back pain Neck pain Low back pain Pain of the anus Pain during pregnancy Pelvic pain Impotence']"
