ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output
1,"Doctor, I have been experiencing sudden and frequent panic attacks. I don't know what to do.","Well, based on what you're telling me, it sounds like you may be suffering from panic disorder. The best course of action is to start with psychotherapy and mental health counseling. Additionally, we should conduct an electrocardiogram to make sure that there are no physical issues causing your panic attacks. We will also need to perform a depression screen and a toxicology screen to rule out any other underlying causes. Finally, I would recommend a comprehensive psychological and psychiatric evaluation and therapy to help manage your symptoms.","It sounds like you're dealing with panic attacks. This could be due to a panic disorder or other conditions, and it's important to consult with a healthcare professional for a proper diagnosis. The symptoms of anxiety, shortness of breath, and irregular heartbeat that you mentioned can all be associated with panic attacks.

A variety of treatments are available, including medications like Lorazepam, Alprazolam (Xanax), or Clonazepam. Psychotherapy and mental health counseling are also often recommended for managing panic disorder. In some cases, your healthcare provider may suggest electrocardiogram (ECG) tests to check for any heart-related conditions that could be contributing to your symptoms.

Keep in mind that this information is provided to give you a general idea of possible approaches and should not replace advice from a qualified healthcare professional who can assess your specific situation and needs.","['Panic attack need medication Lorazepam Mecamylamine Grepafloxacin (Raxar) Etodolac Etanercept (Enbrel) Rosiglitazone (Avandia) Pseudoephedrine (Pcm-La) Oxymetazoline Nasal Varenicline (Chantix) Sodium Salicylate Felodipine', 'Panic attack need medical test Electrocardiogram Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Radiographic imaging procedure Plain x-ray (X ray) Kidney function tests (Kidney function test)', 'Panic disorder need medication Lorazepam Alprazolam (Xanax) Clonazepam Paroxetine (Paxil) Venlafaxine (Effexor) Mirtazapine Buspirone (Buspar) Fluvoxamine (Luvox) Imipramine Desvenlafaxine (Pristiq) Clomipramine Acamprosate (Campral)', 'Panic attack has symptom Anxiety and nervousness Shortness of breath Sharp chest pain Dizziness Chest tightness Irregular heartbeat Breathing fast Fainting Headache Weakness Loss of sensation Difficulty breathing', 'Panic_disorder need_medication Lorazepam possible_cure_disease Panic_attack', 'Panic_disorder need_medical_test Electrocardiogram can_check_disease Panic_attack', 'Panic disorder has symptom Anxiety and nervousness Depression Shortness of breath Depressive or psychotic symptoms Sharp chest pain Dizziness Insomnia Abnormal involuntary movements Chest tightness Palpitations Irregular heartbeat Breathing fast', 'Panic disorder need medical test Psychotherapy Mental health counseling Electrocardiogram Depression screen (Depression screening) Toxicology screen Psychological and psychiatric evaluation and therapy', 'Panic_disorder has_symptom Irregular_heartbeat possible_disease Panic_attack', 'Panic_disorder has_symptom Shortness_of_breath possible_disease Panic_attack']"
2,"Doctor, I have been experiencing a hoarse voice for a few weeks now and it's not getting any better despite taking medication. What could be the problem?","It's possible that you have a vocal cord polyp. To confirm this, we need to conduct tracheoscopy and laryngoscopy with a biopsy. We may also need to conduct an occupational therapy assessment such as speech therapy, other diagnostic procedures like an interview or consultation, physical therapy exercises, as well as diagnostic procedures on your nose, mouth, and pharynx to rule out any other underlying conditions. Additionally, we may need to evaluate your eyes and ears for any related conditions, such as ophthalmologic and otologic diagnosis and treatment.","Based on the information provided, the symptom of a hoarse voice could be associated with several conditions. This includes diseases such as Laryngitis, which is inflammation of the larynx, or Reinke's edema, a swelling of the vocal cords. More rarely, it could also be a sign of a serious condition like throat cancer or neurological disorders affecting the vocal cords.

However, given that you mentioned taking medication without improvement and no other specific symptoms were provided, I cannot make a precise diagnosis. Conditions such as Gastroesophageal reflux disease (GERD) and even allergies can also cause hoarseness.

To better understand the cause of your persistent hoarse voice, it would be necessary to conduct an examination by an ENT (Ear, Nose, Throat) specialist. This may involve a laryngoscopy to directly examine the vocal cords and identify any issues. Until then, I would recommend continuing any medication as directed by your healthcare provider and avoiding activities that could further irritate your throat.",[]
3,"Hi, Doctor. I think I might have Turner syndrome. ","Okay, in that case, you will need to undergo a complete physical skin exam, an ultrasonography, and some other diagnostic procedures such as an interview, evaluation, and consultation. Additionally, we'll need to perform an echocardiography, examine your breast, and check your eyes and ears for any issues. We'll also do a depression screening to assess your mental health.","Based on the information you've provided, Turner syndrome can be associated with a variety of symptoms including depression, diminished hearing, groin mass, leg pain, hip pain, suprapubic pain, blood in stool, lack of growth, emotional symptoms, elbow and back weakness, pus in sputum. However, these symptoms can also be related to other conditions.

Having a consultation with a healthcare professional and undergoing a depression screen, other diagnostic procedures, ophthalmologic and otologic diagnosis and treatment, complete physical skin exam, ultrasonography, echocardiography, and examination of breast, as well as considering the need for medication, would be appropriate to confirm a diagnosis of Turner syndrome or any other potential health issues.

Please note that while I can provide information based on the data given, you should always consult with a healthcare professional for medical advice.","['Turner syndrome has symptom Depression Diminished hearing Groin mass Leg pain Hip pain Suprapubic pain Blood in stool Lack of growth Emotional symptoms Elbow weakness Back weakness Pus in sputum', 'Turner syndrome need medication Somatropin Sulfamethoxazole (Bactrim) Pimecrolimus Topical Hyoscyamine (A-Spas) Ortho Cyclen Carbamazepine Ascorbic Acid Nystatin Topical Product Phenazopyridine (Azo) Nifedipine', 'Turner syndrome need medical test Depression screen (Depression screening) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Complete physical skin exam performed (ML) Ultrasonography (Ultrasound) Echocardiography Examination of breast']"
4,"Doctor, I've been experiencing a condition called cryptorchidism. My testicles have not descended properly into the scrotum. What medical tests do I need to take?","You will need to undergo a complete physical skin exam to see the extent of the undescended testicles. Then, we need to conduct Ultrasonography (Ultrasound) to find out the exact location of the testicles. After that, a pelvis exam and rectal examination will be done to determine if the testicles have descended into the pelvic region. If not, then other OR therapeutic procedures related to male genital or nervous system procedures may be required. We will also do an occupational therapy assessment to assess your speech therapy.","Based on the medical knowledge provided, if you have cryptorchidism (undescended testicles), your doctor would typically perform a complete physical skin exam and possibly recommend additional tests like pelvis exam or ultrasonography. These tests can help check for conditions such as infection, connective tissue disorder, postoperative infection, metabolic disorder, hydrocele of the testicle, or bone disorder. However, the exact plan would depend on your specific situation. Please consult with a healthcare professional for accurate information tailored to your needs.","['Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Cryptorchidism', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML)', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Infection_of_open_wound', 'Cryptorchidism need_medical_test Pelvis_exam', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Connective_tissue_disorder', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Postoperative_infection', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Metabolic_disorder', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Hydrocele_of_the_testicle', 'Cryptorchidism need_medical_test Complete_physical_skin_exam_performed_(ML) can_check_disease Bone_disorder', 'Cryptorchidism need_medical_test Ultrasonography_(Ultrasound)']"
5,"Doctor, I think I've been poisoned. I drank some ethylene glycol by mistake. ","I'm sorry to hear that. We need to run a few tests to determine the extent of the poisoning. We will need to give you intravenous fluid replacement to help flush out the toxin. We'll also need to do hematologic tests, a toxicology screen, and a complete blood count to assess the damage. Additionally, we will need to do an electrocardiogram, measure your glucose level and check your blood-alcohol level.","Based on the information you've provided, it sounds like you have ingested ethylene glycol, a substance that can be harmful if consumed. This is a medical emergency and requires immediate attention. The symptoms of ethylene glycol poisoning can include depressive or psychotic symptoms, sharp abdominal pain, and in severe cases, fainting. 

The recommended course of action is to seek immediate medical help. The medical team will likely conduct hematologic tests (blood tests), measure your glucose level, perform a complete blood count (CBC), and possibly administer Thiamine and intravenous fluid replacement as part of the treatment. Please call your local poison control center or emergency services right away.","['Poisoning_due_to_ethylene_glycol need_medical_test Hematologic_tests_(Blood_test)', 'Poisoning_due_to_ethylene_glycol need_medical_test Glucose_measurement_(Glucose_level)', 'Poisoning_due_to_ethylene_glycol need_medical_test Complete_blood_count_(Cbc)', 'Poisoning_due_to_ethylene_glycol has_symptom Depressive_or_psychotic_symptoms', 'Poisoning_due_to_ethylene_glycol has_symptom Sharp_abdominal_pain', 'Depression possible_disease Poisoning_due_to_ethylene_glycol need_medical_test Hematologic_tests_(Blood_test)', 'Fainting possible_disease Poisoning_due_to_ethylene_glycol', 'Drug_abuse possible_disease Poisoning_due_to_ethylene_glycol', 'Poisoning_due_to_ethylene_glycol need_medication Thiamine', 'Poisoning_due_to_ethylene_glycol need_medical_test Intravenous_fluid_replacement']"
6,"Doctor, I've been having discomfort and dryness in my vagina for a while now. I also experience pain during sex. What could be the problem and what tests do I need?","Based on your symptoms, it sounds like you may have atrophic vaginitis. To confirm this, we would need to perform a pelvic exam, a pap smear and a urinalysis. Additionally, to rule out any underlying conditions and ensure comprehensive preventive care, I would recommend a mammogram, breast examination, rectal examination and a complete physical skin exam.","Your symptoms could be related to conditions such as Atrophic vaginitis, Vaginismus, or a Vulvar disorder, which can cause both vaginal dryness and pain during sex. To diagnose the issue accurately, you may need several tests, including a pelvic exam, a pH test of your vaginal discharge, and possibly a biopsy if a specific gynecological condition is suspected. Discomfort or pain during sex can also be due to psychological factors, so discussing your symptoms with a healthcare provider will help determine the best course of action for diagnosis and treatment.","['Vaginal_dryness possible_disease Atrophic_vaginitis has_symptom Pain_during_intercourse', 'Pain during intercourse possible disease Atrophic vaginitis Vaginitis Female infertility of unknown cause Priapism Bladder cancer Hyperosmotic hyperketotic state Blepharospasm Vaginismus Premature ovarian failure Erectile dysfunction Psychosexual disorder Vulvar disorder Prostate cancer Lichen simplex Fibroadenoma Cervical disorder', 'Vaginal_dryness possible_disease Fibroadenoma has_symptom Pain_during_intercourse', 'Vaginal_dryness possible_disease Vaginismus has_symptom Pain_during_intercourse', 'Vaginal dryness possible disease Atrophic vaginitis Anal fissure Metastatic cancer Vaginismus Menopause Breast cyst Fibroadenoma', 'Vaginal_dryness possible_disease Vaginismus has_symptom Vaginal_pain', 'Pain_during_intercourse possible_disease Vaginitis has_symptom Vaginal_pain', 'Vaginal_dryness possible_disease Vaginismus', 'Pain_during_intercourse possible_disease Vaginismus', 'Pain_during_intercourse possible_disease Vulvar_disorder has_symptom Vaginal_pain']"
7,"Hello doctor, I think I fractured my hand while playing basketball. It hurts a lot and I can't move it properly.","I'm sorry to hear that. Based on your symptoms, I recommend we conduct a radiographic imaging procedure, specifically a plain x-ray, to determine the extent and location of the fracture. We may also need to apply a splint or orthopedic casting to support and immobilize the bone while it heals. In addition, we may consider traction, other wound care, and physical therapy exercises to promote healing and improve mobility.","Based on your symptoms, it is very likely that you have fractured your hand. This condition is called 'Fracture of the hand' and it needs to be confirmed with a Plain x-ray (X-ray) as part of the medical treatment. You may also need other procedures such as traction, splinting, orthopedic casting, or physical therapy exercises. Please seek immediate medical attention for proper diagnosis and treatment.","['Fracture_of_the_hand need_medical_test Plain_x-ray_(X_ray)', 'Wrist_pain possible_disease Fracture_of_the_hand', 'Fracture_of_the_hand has_symptom Hand_or_finger_stiffness_or_tightness possible_disease Nerve_impingement_near_the_shoulder', 'Arm_pain possible_disease Fracture_of_the_hand', 'Fracture_of_the_hand has_symptom Hand_or_finger_stiffness_or_tightness', 'Fracture_of_the_hand need_medical_test Traction;_splints;_and_other_wound_care', 'Fracture_of_the_hand has_symptom Arm_stiffness_or_tightness', 'Arm_stiffness_or_tightness possible_disease Fracture_of_the_hand', 'Fracture of the hand need medical test Physical therapy exercises (Exercises) Radiographic imaging procedure Plain x-ray (X ray) Application of splint (Splinting) Orthopedic casting Traction; splints; and other wound care Other non-OR therapeutic procedures on musculoskeletal system', 'Hand_or_finger_pain possible_disease Fracture_of_the_hand']"
8,"Hi Doctor, I have a problem with my mouth. It's painful and there's swelling around it. It's difficult to eat or talk properly.","It sounds like you might have cellulitis or an abscess in your mouth. As a first step, we need to perform a complete physical skin exam to determine the extent of the issue. Depending on the severity of the condition, we might need to perform an excision or incision and drainage. We might also need to do a biopsy to determine the underlying cause. Additionally, wound care management and a culture of the wound may be necessary. If the condition is more severe, we might have to consider other therapeutic procedures on your nose, mouth, and pharynx.","Your symptoms could be due to an open wound in or around your mouth, a dental issue like a broken tooth, or an infection such as cellulitis or scarlet fever. These conditions can cause mouth pain and swelling. I recommend seeing a healthcare professional for an examination. They may need to take a closer look at your mouth or perform some tests to determine the exact cause and provide appropriate treatment.","['Mouth_pain possible_disease Open_wound_of_the_mouth has_symptom Lip_swelling', 'Mouth_pain possible_disease Open_wound_of_the_jaw has_symptom Lip_swelling', 'Mouth_pain possible_disease Open_wound_of_the_lip has_symptom Lip_swelling', 'Mouth_pain possible_disease Scarlet_fever has_symptom Skin_swelling', 'Mouth_pain possible_disease Oral_mucosal_lesion has_symptom Lip_swelling', 'Mouth_pain possible_disease Scarlet_fever has_symptom Throat_swelling', 'Mouth_pain possible_disease Scarlet_fever has_symptom Difficulty_in_swallowing', 'Difficulty_eating possible_disease Fracture_of_the_facial_bones', 'Difficulty_eating possible_disease Broken_tooth', 'Lip_swelling possible_disease Cellulitis_or_abscess_of_mouth']"
9,"Doctor, I have been having trouble with my eye alignment lately. I often see double and feel eye strain, especially when I read or look at something for a long time. ","Based on your symptoms, it seems like you might have an eye alignment disorder. I recommend that we conduct an ophthalmologic and otologic diagnosis and treatment to properly diagnose your condition. This will involve an eye exam and an evaluation of your ears to assess any potential underlying issues. Additionally, we may need to conduct other diagnostic procedures such as interviews and consultations to get a better understanding of your medical history and any other factors that may be contributing to your symptoms. Once we have a diagnosis, we can explore other therapeutic procedures to treat the problem, such as procedures on your eyelids, conjunctiva, cornea, extraocular muscles, and orbit. Depending on your specific situation, an occupational therapy assessment such as speech therapy may also be recommended to address any related functional impairments.","Your symptoms suggest a possible eye alignment disorder, which can cause double vision and eye strain, particularly when reading or focusing on something for extended periods. Other conditions like Myasthenia Gravis could also cause these symptoms. To confirm, an Ophthalmic examination and evaluation (Eye exam) is recommended. If an eye alignment disorder is detected, it can often be treated with medication such as Phenylephrine (Duramax), Atropine (Uaa), Cyclopentolate Ophthalmic, Tropicamide Ophthalmic, Dexamethasone-Tobramycin Ophthalmic, Methazolamide (Mzm), Fluorescein, Orlistat (Alli), or Colloidal Oatmeal Topical. Occupational therapy assessment and other diagnostic procedures may also be needed for a comprehensive evaluation.","['Eye alignment disorder has symptom Lack of growth Eye deviation Diminished vision Double vision Cross-eyed Symptoms of eye Pain in eye Eye moves abnormally Abnormal movement of eyelid Foreign body sensation in eye Irregular appearing scalp Swollen lymph nodes', 'Double_vision possible_disease Eye_alignment_disorder', 'Eye alignment disorder need medication Phenylephrine (Duramax) Atropine (Uaa) Cyclopentolate Ophthalmic Tropicamide Ophthalmic Dexamethasone-Tobramycin Ophthalmic Methazolamide (Mzm) Fluorescein Orlistat (Alli) Colloidal Oatmeal Topical Benzylpenicilloyl Polylysine (Pre-Pen)', 'Eye_alignment_disorder has_symptom Double_vision', 'Eye alignment disorder need medical test Occupational therapy assessment (Speech therapy) Other diagnostic procedures (interview; evaluation; consultation) Ophthalmologic and otologic diagnosis and treatment Other therapeutic procedures on eyelids; conjunctiva; cornea Other therapeutic procedures Ophthalmic examination and evaluation (Eye exam) Other extraocular muscle and orbit therapeutic procedures', 'Double vision possible disease Eye alignment disorder Diabetic retinopathy Corneal disorder Astigmatism Cranial nerve palsy Concussion Chorioretinitis Myasthenia gravis Acute glaucoma Thyroid disease Macular degeneration Pinguecula Chronic glaucoma Retinal detachment Muscular dystrophy Dry eye of unknown cause Vitreous degeneration Cataract Toxic multinodular goiter Central retinal artery or vein occlusion Head injury Fracture of the facial bones Histoplasmosis', 'Myasthenia_gravis has_symptom Double_vision possible_disease Eye_alignment_disorder', 'Ophthalmic_examination_and_evaluation_(Eye_exam) can_check_disease Eye_alignment_disorder has_symptom Double_vision', 'Cross-eyed possible_disease Eye_alignment_disorder', 'Eye strain possible disease Fetal alcohol syndrome Cryptococcosis Amyloidosis Dislocation of the ankle Hirschsprung disease Dislocation of the foot Syndrome of inappropriate secretion of ADH (SIADH) Scurvy Vitamin A deficiency Edward syndrome Meckel diverticulum Dislocation of the wrist Mumps Acute fatty liver of pregnancy (AFLP) Carcinoid syndrome Rheumatic fever Patau syndrome']"
10,"Doctor, I have been experiencing headaches after my recent lumbar puncture. What tests do I need to take?","Based on your symptoms, we would need to perform a number of tests. These include an intravenous fluid replacement, a complete blood count (CBC), hematologic tests, an electrolytes panel, glucose measurement, kidney function tests, and liver function tests. These tests will help us to determine the cause of your headaches and develop an appropriate treatment plan.","Your symptoms are consistent with a known complication of lumbar punctures called a post-lumbar puncture headache. This type of headache is often accompanied by symptoms such as dizziness, vomiting, and neck pain. To manage this condition, your doctor might consider medications like Dexamethasone-Tobramycin Ophthalmic, Hydromorphone (Dilaudid), Caffeine, Prochlorperazine (Compro), Midazolam (Versed), Caffeine-Sodium Benzoate, Zidovudine, or Zolmitriptan (Zomig). In addition, your doctor may recommend intravenous fluid replacement and hematologic tests such as a complete blood count (CBC), glucose measurement, electrolytes panel, kidney function tests, liver function tests to ensure there are no other underlying causes for your headache.","['Headache after lumbar puncture need medical test Intravenous fluid replacement Hematologic tests (Blood test) Complete blood count (Cbc) Glucose measurement (Glucose level) Electrolytes panel Kidney function tests (Kidney function test) Liver function tests (Liver test)', 'Headache after lumbar puncture need medication Dexamethasone-Tobramycin Ophthalmic Hydromorphone (Dilaudid) Caffeine Prochlorperazine (Compro) Midazolam (Versed) Caffeine-Sodium Benzoate Zidovudine Zolmitriptan (Zomig)', 'Headache after lumbar puncture has symptom Dizziness Vomiting Headache Nausea Painful urination Back pain Neck pain Low back pain Pain of the anus Pain during pregnancy Pelvic pain Impotence']"
