ID,Question,GT_Answer,SKnowGPT,Ranked_KG_output
1,how does rivatigmine and otc sleep medicine interact,"tell your doctor and pharmacist what prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: antihistamines; aspirin and other nonsteroidal anti-inflammatory medications (NSAIDs) such as ibuprofen (Advil, Motrin) and naproxen (Aleve, Naprosyn); bethanechol (Duvoid, Urecholine); ipratropium (Atrovent, in Combivent, DuoNeb); and medications for Alzheimer's disease, glaucoma, irritable bowel disease, motion sickness, ulcers, or urinary problems. Your doctor may need to change the doses of your medications or monitor you carefully for side effects.","['Rivastigmine  has mechanism  increases amount of certain natural substance in the brain', 'Rivastigmine  has side effect  headache  nausea  vomiting  constipation  loss of appetite  difficulty sleeping  stomach pain  diarrhea  dizziness  heartburn  confusion  extreme tiredness  weakness  weight loss  increased sweating  lack of energy  gas  tremor', 'Rivastigmine  has special precaution  inform doctor of allergies  inform doctor if pregnant or breastfeeding  inform doctor before surgery  inform doctor of other medications', 'Rivastigmine  has serious side effect  rash  hives  difficulty breathing  depression  seizures  bloody vomit  anxiety  black and tarry stools  red blood in stools  aggressive behavior  uncontrollable movements', 'Rivastigmine  has warning  keep out of reach of children  store at room temperature  do not flush down toilet  dispose of properly  do not freeze', ""Rivastigmine  has instruction  take exactly as directed  call poison control in case of overdose  follow directions on prescription label  do not stop without talking to doctor  do not take more or less than prescribed  continue taking even if feeling well  doctor will start on low dose and increase every 2 weeks  ask pharmacist for manufacturer's instructions for use  use oral dosing syringe to measure dose  can be mixed with water juice or soda  must be taken within 4 hours if mixed  symptoms of overdose include nausea and vomiting"", 'Rivastigmine  belongs to class  cholinesterase inhibitors', 'Rivastigmine  has caution  talk to doctor if missed dose for more than a few days', 'Rivastigmine  has brand name  Exelon®', 'Rivastigmine  has usage  taken by mouth  taken twice a day with meals']"
2,what is desonide ointment used for,"Desonide is used to treat the redness, swelling, itching, and discomfort of various skin conditions, including psoriasis (a skin disease in which red, scaly patches form on some areas of the body and eczema (a skin disease that causes the skin to be dry and itchy and to sometimes develop red, scaly rashes).",[]
3,breo inhaler how it works,"The combination of fluticasone and vilanterol is used to control wheezing, shortness of breath, coughing, and chest tightness caused by asthma and chronic obstructive pulmonary (COPD; a group of diseases that affect the lungs and airways, that includes chronic bronchitis and emphysema). Fluticasone is in a class of medications called steroids. It works by reducing swelling in the airways. Vilanterol is in a class of medications called long-acting beta-agonists (LABAs). It works by relaxing and opening air passages in the lungs, making it easier to breathe.",[]
4,breo inhaler how it works,"To use the inhaler, follow these steps:
	1	If you will be using a new inhaler for the first time, remove it from the box and the foil wrapper. Fill in the ""Tray opened"" and ""Discard"" blanks on the inhaler label with the date that you opened the pouch and the date 6 weeks later when you must replace the inhaler.
	2	When you are ready to inhale your dose, slide the cover down to expose the mouthpiece until it clicks. If you open and close the inhaler without using your dose, you will waste the medication.
	3	The counter will count down by 1 each time you open the cover. If the counter does not count down, your inhaler will not provide the medicine. If your inhaler does not count down, call your pharmacist or doctor.
	4	Hold the inhaler away from your mouth and breathe out as far as you comfortably can. Do not breathe out into the mouthpiece.
	5	Put the mouthpiece between your lips, and close your lips firmly around it. Take a long, steady, deep breath in through your mouth. Do not breathe in through your nose. Be careful not block the air vent with your fingers.
	6	Remove the inhaler from your mouth, and hold your breath for about 3 to 4 seconds or as long as you comfortably can. Breathe out slowly.
	7	You may or may not taste or feel the medicine released by the inhaler. Even if you do not, do not inhale another dose. If you are not sure you are getting your dose of fluticasone and vilanterol, call your doctor or pharmacist.
	8	You may clean the mouthpiece with a dry tissue, if needed. Slide the cover up over the mouthpiece as far as it will go to close the inhaler.
	9	Rinse your mouth with water, but do not swallow.
Ask your pharmacist or doctor for a copy of the manufacturer's information for the patient.",[]
5,why did my doctor give me level iracetam,Levetiracetam is used in combination with other medications to treat certain types of seizures in adults and children with epilepsy. Levetiracetam is in a class of medications called anticonvulsants. It works by decreasing abnormal excitement in the brain.,"['Levetiracetam  has caution  sudden stop may worsen seizures  tell doctor if allergic to levetiracetam  inform doctor of all medications and supplements  monitor for side effects if kidney disease or mood problems  may cause dizziness or drowsiness  call doctor for unusual changes in behavior or mood', 'Levetiracetam  has instruction  take exactly as directed  skip missed dose if close to next dose  dispose of unneeded medications properly  call poison control in case of overdose  follow directions on prescription label  do not stop without talking to doctor  do not flush down toilet  may start on low dose and gradually increase  swallow immediate release and extended release tablets whole  do not split chew or crush tablets  use dry hands to peel foil from blister packaging  dissolve tablets for suspension in liquid  do not use household spoon to measure dose  if missed dose take as soon as remembered', 'Levetiracetam  has side effect  headache  vomiting  constipation  loss of appetite  diarrhea  dizziness  confusion  joint pain  weakness  irritability  unsteady walking  aggression  excessive sleepiness  neck pain  double vision  nasal congestion', 'Levetiracetam  has mechanism  decreases abnormal excitement in the brain', 'Levetiracetam  has information  keep medication out of reach of children  may be prescribed for other uses  store at room temperature away from light and moisture', 'Levetiracetam  has warning  does not cure epilepsy  risk of suicidal thoughts or behavior  serious side effects may include rash fever or difficulty breathing  symptoms of overdose may include drowsiness and difficulty breathing', 'Levetiracetam  belongs to class  anticonvulsants', 'Levetiracetam  possible cure disease  partial onset seizures  juvenile myoclonic epilepsy  primary generalized tonic clonic seizures', 'Levetiracetam  has brand name  Elepsia® XR  Keppra®  Keppra® XR  Spritam®', 'Levetiracetam  has usage  taken by mouth  taken twice a day  taken once daily']"
6,what medication not to take with lithium,What special precautions should I follow?,"['Lithium  has instruction  take exactly as directed  take missed dose as soon as remembered  skip missed dose if close to next dose  do not take double dose for missed dose  follow directions on prescription label  do not stop taking without talking to your doctor  take at around the same times every day', 'Lithium  has information  store at room temperature away from heat and moisture  dispose of unneeded medications properly  call poison control in case of overdose  keep medication out of reach of children  do not flush down toilet  symptoms of overdose include diarrhea and vomiting', 'Lithium  has serious side effect  shortness of breath  chest tightness  headache  fainting  dizziness or lightheadedness  seizures  confusion  hallucinations  frequent urination  unusual tiredness or weakness  excessive thirst  slow jerky movements  blackouts  fast slow irregular or pounding heartbeat  crossed eyes  painful cold or discolored fingers and toes  pounding noises inside the head  swelling of feet ankles or lower legs', 'Lithium  has side effect  rash  itching  constipation  loss of appetite  stomach pain  restlessness  dry mouth  acne  gas  hair loss  joint or muscle pain  fine hand movements difficult to control  mild thirst  indigestion  weight gain or loss  excessive saliva  change in ability to taste  swollen lips  unusual discomfort in cold temperatures  paleness  thin brittle fingernails or hair', 'Lithium  has caution  do not drive until you know how it affects you', 'Lithium  belongs to class  antimanic agents', 'Lithium  has usage  taken by mouth  taken three to four times a day  taken two to three times a day for extended release', 'Lithium  has brand name  Eskalith  Eskalith CR  Lithobid', 'Lithium  has warning  may harm the fetus if pregnant', 'Lithium  has mechanism  decreases abnormal activity in the brain']"
7,how to administer denosumab,"Denosumab injection comes as a solution (liquid) to be injected subcutaneously (under the skin) in your upper arm, upper thigh, or stomach area. It is usually injected by a doctor or nurse in a medical office or clinic. Denosumab injection (Prolia) is usually given once every 6 months. When denosumab injection (Xgeva) is used to reduce the risk of fractures from multiple myeloma, or cancer that has spread to the bones, it is usually given once every 4 weeks. When denosumab injection (Xgeva) is used to treat giant cell tumor of bone, or high calcium levels caused by cancer, it is usually given every 7 days for the first three doses (on day 1, day 8, and day 15) and then once every 4 weeks starting 2 weeks after the first three doses.

Your doctor will tell you to take supplements of calcium and vitamin D while you are being treated with denosumab injection. Take these supplements exactly as directed.

When denosumab injection (Prolia) is used to treat osteoporosis or bone loss, your doctor or pharmacist will give you the manufacturer's patient information sheet (Medication Guide) when you begin treatment with denosumab injection and each time you refill your prescription. Read the information carefully and ask your doctor or pharmacist if you have any questions. You can also visit the Food and Drug Administration (FDA) website (http://www.fda.gov/Drugs/DrugSafety/ucm085729.htm) or the manufacturer's website to obtain the Medication Guide.",[]
8,is cyclobenzaprine a benzodiazepine?,"Cyclobenzaprine is in a class of medications called skeletal muscle relaxants. It works by acting in the brain and nervous system to allow the muscles to relax. …............ Benzodiazepines (sometimes called ""benzos"") work to calm or sedate a person, by raising the level of the inhibitory neurotransmitter GABA in the brain. Common benzodiazepines include diazepam (Valium), alprazolam (Xanax), and clonazepam (Klonopin), among others.","['Cyclobenzaprine  belongs to class  skeletal muscle relaxants', 'Cyclobenzaprine  has information  store at room temperature away from heat and moisture  dispose of unneeded medications properly  call poison control in case of overdose  keep medication out of reach of children  do not flush medication down the toilet  symptoms of overdose include drowsiness and fast heartbeat', 'Cyclobenzaprine  has mechanism  acts in the brain and nervous system to allow muscles to relax', 'Cyclobenzaprine  has side effect  nausea  constipation  dizziness  heartburn  extreme tiredness  dry mouth', 'Cyclobenzaprine  has caution  discuss medications with doctor before starting  not for patients recovering from a recent heart attack  not for patients with overactive thyroid gland  not for patients with heart failure  not for patients with irregular heartbeat  not for patients with increased pressure in the eye or glaucoma  not for patients with difficulty urinating  not for patients with liver disease  not for pregnant or breastfeeding women  older adults should not usually take this medication', 'Cyclobenzaprine  has form  tablet  extended release capsule', 'Cyclobenzaprine  has instruction  take exactly as directed  take missed dose as soon as remembered  skip missed dose if close to next dose  do not take double dose for missed dose  follow directions on prescription label  do not take for more than 3 weeks without talking to your doctor  swallow extended release capsules whole  mix contents of capsule with applesauce if unable to swallow', 'Cyclobenzaprine  has warning  call doctor if skin rash occurs  call doctor if swelling of face or tongue occurs  call doctor if difficulty breathing or swallowing occurs  call doctor if irregular or fast heart rate occurs  call doctor if chest pain occurs', 'Cyclobenzaprine  possible cure disease  muscle pain and discomfort caused by strains  muscle pain and discomfort caused by sprains  muscle pain and discomfort caused by muscle injuries', 'Cyclobenzaprine  has brand name  Amrix®  Flexeril®']"
9,can i take tea with azithromycin?,"tell your doctor and pharmacist what other prescription and nonprescription medications, vitamins, nutritional supplements, and herbal products you are taking or plan to take. Be sure to mention any of the following: anticoagulants ('blood thinners') such as warfarin (Coumadin, Jantoven); cyclosporine (Neoral, Sandimmune); digoxin (Lanoxin); dihydroergotamine (D.H.E. 45, Migranal); ergotamine (Ergomar); medications for irregular heartbeat such as amiodarone (Cordarone, Pacerone), dofetilide (Tikosyn), procainamide (Procanbid), quinidine, and sotalol (Betapace, Sorine); nelfinavir (Viracept); phenytoin (Dilantin); and terfenadine (not available in the U.S.). Your doctor may need to change the doses of your medications or monitor you carefully for side effects.
if you are taking antacids containing aluminum hydroxide or magnesium hydroxide (Maalox, Mylanta, Tums, others), you will need to allow some time to pass between when you take a dose of these antacids and when you take a dose of azithromycin tablets or liquid. Ask your doctor or pharmacist how many hours before or after you take azithromycin you may take these medications. The extended-release suspension may be taken at any time with antacids.","['Azithromycin  has instruction  take exactly as directed  follow directions on prescription label  take until prescription is finished  shake liquid well before each use  use a dosing spoon or oral syringe to measure medication  mix powder with water before taking  use extended release suspension within 12 hours after preparation  call doctor if vomiting occurs within an hour after taking', 'Azithromycin  has usage  taken by mouth  taken once a day for 1 5 days  taken once weekly for prevention of MAC infection  taken on an empty stomach as a one time dose', 'Azithromycin  has severe side effect  difficulty breathing  fainting  yellowing of skin or eyes  dizziness  fast or irregular heartbeat  rash with fever  blisters or peeling skin  severe diarrhea  unusual bleeding or bruising  extreme tiredness', 'Azithromycin  has caution  inform doctor of other medications being taken  inform doctor if pregnant or breastfeeding  skipping doses may lead to antibiotic resistance  tell doctor if allergic to azithromycin or other antibiotics  allow time between antacids and azithromycin  not for patients with liver problems  not for patients with prolonged QT interval', 'Azithromycin  has warning  do not stop taking unless severe side effects occur', 'Azithromycin  has side effect  headache  nausea  vomiting  stomach pain  diarrhea', 'Azithromycin  belongs to class  macrolide antibiotics', 'Azithromycin  has form  tablet  suspension  extended release suspension', 'Azithromycin  has emergency instruction  call poison control in case of overdose', ""Azithromycin  possible cure disease  infections of the ears  infections of the lungs  infections of the skin  bacterial infections  bronchitis  pneumonia  sexually transmitted diseases (STD)  infections of the sinuses  infections of the throat  infections of the reproductive organs  disseminated Mycobacterium avium complex (MAC) infection  H. pylori infection  travelers' diarrhea  Legionnaires' disease  pertussis  Lyme disease  babesiosis  heart infection prevention  STD prevention in sexual assault victims""]"
10,is zolpidem a drug?,Zolpidem belongs to a class of medications called sedative-hypnotics.,"[""Zolpidem  has special precaution  call poison control in case of overdose  inform doctor if pregnant or breastfeeding  may cause withdrawal symptoms if stopped suddenly  inform doctor if allergic to zolpidem  inform doctor of other medications taken  not recommended for older adults  may impair ability to drive or operate machinery  monitor for changes in behavior or mental health  do not take with St. John's wort  call doctor if sleep problems worsen during treatment"", 'Zolpidem  has caution  may be habit forming  do not drink alcohol during treatment  may cause drowsiness and decreased mental alertness  do not take more than one sleeping pill on the same night', 'Zolpidem  has form  tablet  extended release tablet  sublingual tablet  oral spray', 'Zolpidem  has brand name  Ambien  Ambien CR  Edluar  Intermezzo  Zolpimist', 'Zolpidem  has side effect  rash  difficulty breathing  headache  nausea  chest pain  constipation  blurred vision  drowsiness  dizziness  tiredness  unusual dreams  muscle aches or cramps', 'Zolpidem  has mechanism  slows activity in the brain to allow sleep', 'Zolpidem  has instruction  take exactly as directed  dispose of unneeded medications properly  follow directions on prescription label  keep out of reach of children  store at room temperature  keep a list of all medications taken  do not stop taking without talking to your doctor  swallow extended release tablets whole  take for short periods of time  sleep problems should improve within 7 to 10 days  plan to stay in bed for 7 to 8 hours after taking  take sublingual tablets only when in bed  do not take if unable to remain asleep for required hours  prime oral spray before first use', 'Zolpidem  has usage  taken by mouth  taken immediately before bedtime  taken as needed not more than once a day', 'Zolpidem  has warning  may cause serious sleep behaviors', 'Zolpidem  possible cure disease  insomnia']"
